,0
45,Та̄н нама­ныл пуссын ва̄ӈкв э̄ре̄гыт.
46,"Ка̄сыӈ хо̄тпа наме, о̄лнэ ма̄тэ, ва̄нэ тэ̄ланэ пуссын та̄ра-паттавет ос тув хан­савет."
47,"Наманыл тот пуссын ла̄кква-уртавет:
– Акв ма̄т пе̄с йис мо̄йтыт, пе̄с йис а̄мщит ва̄нэ хо̄тпат наманыл хансым о̄лэ̄гыт."
48,"– Китыт ма̄т пе̄с йис э̄р­гыт, са̄ӈквылтан та̄ныт, ял­пыӈ э̄ргыт ва̄нэ хо̄тпат урыл ловиньтаӈкве ро̄ви."
49,"– Хӯр­мит ма̄т са̄ӈквыл­тапыт, нэ̄р­нэйӣвыт, та̄­рыг­сып­лув-йӣвыт ос мо̄т са̄всыр са̄ӈквылтан ман ёнгын утыт ва̄рнэ хо̄тпат нама­ныл хасве̄сыт."
50,"– Ос нилыт ма̄т пе̄с о̄лупса, пе̄с ялпыӈ хо̄та­лыт, пӯрлахтын ва̄р­малит э̄лаль тотнэ ма̄хум намыл о̄лэ̄гыт."
51,"Та колт рӯпитан хо̄тпат ты сосса ма̄хум наманыл, хурияныл, о̄лупсаныл урыл хансым потрыт, по̄слым кинат пуссын ищхӣпыӈ ут ло̄псын ва̄рияныл."
52,"Ма̄ янытыл о̄лнэ мир матыр мӯтра о̄щнэ хо̄тпат урыл тот ловиньтаӈкве, хури­яныл сунсыглаӈкве, пот­ра­ныл-мо̄йтаныл хӯнтлаӈ­кве ань ве̄рмияныл."
53,"Ты ма̄хум яныг намыл о̄с вос мивет
Творчество кол сосса мир колнакт кӯщаиг Светлана Николаевна Нестерова о̄лы."
54,"Реестр-ло̄пс хумус ва̄раве, та урыл таи потыртас:
«Комиссият о̄лнэ хот­пат та̄л сыс кит щёс, я̄ӈк на̄тнэ э̄тпост ос ва̄т са̄г­рап­нал э̄тпост сапра̄нин во̄выглыянӯв."
55,"То̄нт округ янытыл сосса ма̄хум ке̄­тым нэ̄паканыл ловинь­ты­янӯв, мо̄йтаныл, э̄рга­ныл, пе̄с потраныл хӯнтлыянӯв."
56,Ма̄хум нэ̄паканыл туп хотты организацияныл ке̄­туӈ­кве ве̄рме̄гыт.
57,Э̄лум­хо̄лас такви ке̄тум нэ̄па­канэ ат пирмайтыянӯв.
58,"Комиссият ань куль­тура депар­тамент кӯщай хум Артур Альбертович Латыпов, Творчество колт кӯщай нэ̄ Елена Евгенье­вна Исламуратова, ханты э̄ква Мария Кузьминична Волдина, нэ̄пак хаснэ нэ̄ Светлана Силиверстовна Динисламова, учёный нэ̄ Светлана Алексеевна Попова ос са̄в мо̄т учёны­ит, пе̄с йис ва̄рмалит ва̄нэ хо̄тпат рӯпитэ̄гыт."
59,"Хоты ма̄хум наманыл, хоты мо̄йтыт, пе̄с э̄ргыт реестр-ло̄псын хансуӈкве - та̄н  пуссын аквъёт пе̄рие̄гыт."
60,2003 та̄л па̄сныл округувт «О фольклоре» нампа са̄ккон рӯпиты.
61,Нэ̄пак щирыл «Мастер фольклора» нам ощнэ хо̄т­пат культура колт манос ханищтап колт диплом та̄л ня̄врамыт ханищтаӈкве ве̄рме̄гыт.
62,Ты тэ̄ла урыл са̄кконт хансым о̄лы.
63,Ты коныпал яныг нам о̄щнэ ма̄хум мо̄т званият ос са̄всыр нё̄тмилыт ма̄гсыл нэ̄паканыл ке̄туӈкве тах ве̄рме̄гыт.
64,"Ка̄сыӈ та̄л ма̄щтыр ма̄хум касыл щирыл премия олныл мивет, рущ ла̄тӈыл тох намаим о̄лы: «Мастер художественных промыслов и ремёсел»."
65,"Ма̄н ань кӯщаит палт пищ­мат акваг хансэ̄в, «Мастер фольклора» нам о̄щнэ хо̄тпа о̄с аквты щирыл пре­мия-олныл вос мивет."
66,"Ам номсэ̄гум, то̄нт са̄внув ма̄­хум ма̄навн та̄нки нэ̄па­ка­ныл ке̄туӈкве патэ̄гыт."
67,"Мо̄йтыт, э̄ргыт, пе̄с потрыт, ялпыӈ э̄ргыт ва̄нэ хо̄тпат ка̄сыӈ та̄лныл мощщагнув е̄мты, та̄наныл янытлаӈкве ос э̄сгуӈкве ань э̄ри»."
68,"Ма̄ньщи, ханты ос ё̄рн хо̄тпат пе̄рияве̄сыт
Хо̄т э̄лумхо̄лас нэ̄пака­ныл сапра̄нин ке̄тыглаве̄­сыт, наманыл та реестр-ло̄псын хансуӈкве ро̄ви ман а̄ти, та урыл ма̄хум потыр­та­сыт."
69,"То̄нт та̄н Елена Констан­тиновна Самбиндалова, Павел Янчевич Айваседа, Галина Михайловна Кур­га­нова ос Ульяна Никола­евна Шульгина наманыл ищ­хӣпыӈ утыт о̄лнэ ло̄п­сын хансуӈкве ла̄всыт."
70,"Елена Константиновна Самбиндалова – нёмса, ёмас, ка̄ркам ма̄ньщи нэ̄, тав Ха̄льӯс район Хулюм­сӯнт па̄вылт о̄лы."
71,"Тав Яныгпа̄вылт самын патыс, ма̄нь­та̄гыл са̄в мо̄йтыт, пе̄с пот­рыт, э̄ргыт хӯлыг­лас."
72,"Ня̄х­щам­во̄ль школа а̄ст­лас, юн оматэ̄н-атятэ̄н нё̄тым матахкем та̄л о̄лыс."
73,Ты юи-па̄лт Ня̄хщамво̄ль па̄вылн ва̄нтлас ос интер­натыт рӯпитас.
74,Хум ва̄рыс ос Хулюмсӯнт па̄вылн о̄луӈкве минас.
75,О̄йкатэ Алексей Пет­ро­вич Адин наме о̄лыс.
76,Тэ̄н хӯрум ня̄врам янмал­тасы̄г.
77,"Яныг а̄гитэ наме Антонина, тав «Газпром» нампа организацият рӯпиты."
78,Хумитэ ёт хӯрум ня̄врам янмалтэ̄г.
79,Ма̄нь а̄гитэ Кристина ня̄врам ӯргалан колт воспитателиг рӯпиты.
80,О̄йкатэ̄нтыл акв пыг о̄ньще̄г.
81,А̄гияге сас ма̄ньщи ла̄тӈыл ёмащакв потыртэ̄г.
82,Пыге Костя а̄тимыг е̄мтыс.
83,"Елена Константиновна пе̄с потрыт, мо̄йтыт ва̄нэ хо̄тпаг о̄лы, ма̄ньщи нэ̄ «Ма̄нь Ӯскве» ня̄врамыт ӯщлахтын ма̄н во̄выглаве."
84,"Хулюмсӯнт па̄выл школат са̄всыр конференцият  «От ремесла к искусству», «Погружение в историю ХМАО-Югры» о̄лум порат ня̄врамытын потрыт хан­суӈкве тав о̄с нё̄ты."
85,Ань комиссият рӯпитан хо̄тпат нила ханты э̄ргыт реестр-нэ̄пакн хансуӈкве ла̄всыт.
86,Ты э̄ргыт Белояр­ский район Касум па̄вылт Ӯй йӣквнэ порат хасве̄сыт.
87,"Ань реестр-ло̄п­сыт «Вошъ­юган мишнэ ар», «Пил­танг каланг лапат ворт», «Хаймас», «Пусал ов ика» э̄ргыт хӯнтлуӈкве ро̄ви."
88,"Аквты ло̄псын Сакв ма̄ньщит хумус са̄ӈк­выл­та̄пыл са̄ӈквыл­тэ̄гыт, о̄с тув ва̄рвес."
89,Ань по̄с­лым кинат Г.Н. Сайна­хов са̄ӈ­квылты.
90,"«Техники и технологии» нампа ло̄псыт ловинь­таӈ­кве ро̄ви, хумус хо̄нтаӈ ма̄ньщит хӯл пуве̄гыт."
91,Ты ва̄рмаль урыл потыр ос хурит тув ва̄равет.
92,На̄нки нэ̄паканын о̄с тув ке̄тэ̄н.
93,Ань «Мастера фольк­лора» нампа ло̄псыт 18 э̄лумхо̄лас нама­ныл хас­ве̄сыт.
94,"Ты халт ты ма̄ньщи нэ̄т: Галина Кон­стан­тино­вна Алгадьева, Мария Тихоновна Двиня­нинова, Мария Сергеевна Мерова ос «Са̄лы лё̄ӈх» ансамбль ва̄рум хум Дмитрий Геор­гиевич Агеев наманыл хансым о̄лэ̄гыт."
95,"Творчество колт рӯпи­тан хо̄тпат э̄ргын, йӣквнэ ман матыр ва̄руӈкве ха̄снэ сосса хо̄тпат, ю̄нсхатнэ нэ̄квет, мо̄йт ва̄нэ, э̄ргыт, пе̄с потрыт ва̄нэ ма̄хум урыл ла̄тыӈ ӯре̄гыт."
96,"Хоты нэ̄пакыт ке̄туӈкв тув э̄ри, Светлана Николаевна Нестерова китыглаӈкве ро̄ви, таве̄н ищхӣпыӈ ут хосыт пищма тув хансэ̄н –
nesterovasn@odntugra.ru
."
97,Людмила ТЕТКИНА
98,Ха̄льӯс район Саранпа̄вылт краеведческий музей о̄лы.
99,Тот Вера Павловна Комкова тав пуӈктоты.
100,"Саранпа̄вылн ялмум порат, музейн щалтсасум, тот рӯпитан ма̄хум ёт хо̄нтхатыгласум, ва̄рнэ тэ̄ланыл урыл китыглахтасум."
101,На̄н ань э̄лаль Вера Павловна потре ловинь­тэлы̄н.
102,"– Мо̄лты музеювн Кульпас па̄вылт о̄лнэ «На̄йо̄тыр ма̄» музей тӯл­вес, тав ань филиалыг ла̄ваве."
103,"Ма̄н хо̄т нэ̄квет рӯпитэ̄в – Кульпас музейт кит хо̄тпа, тыт ос нила."
104,"Ма̄н Саранпа̄выл ос ляпат ӯнлын па̄влыт урыл потыртэ̄в, ма̄хум ты ма̄т хунь о̄лмыгтасыт, хоты мирыт тыг са̄ртын ва̄нт­лысыт."
105,Кульпас музейн ос та ляпат о̄лнэ па̄влыт урыл потрыт акван-атавет.
106,"Светлана Николаевна Немкова тот кӯщаиг о̄лы, Татьяна Андреевна Канева пор­масыт акван-аты, мӯс­хал щирыл щё̄питыянэ."
107,Саранпа̄выл музейн са̄в хо̄тпа ёхталы.
108,Алёна Романовна Тальмич пе̄с пормасыт урыл потырты.
109,"Татьяна Александровна Семяшкина маснут, о̄щнут акван-аты, музейт ань манах пормас о̄лы, тав ты пуссын ва̄гтэ."
110,"Любовь Павловна Стаканова ме­то­дистыг рӯпиты, тыхал ня̄врамыт ёт «Истори­ческий клуб» тэ̄ла ва̄ри."
111,"Музеюв тэ̄лме па̄сныл, тыт рӯпитам ма̄хум Саран­па̄выл урыл, ляпат ӯнлын па̄влыт, са̄всыр организа­цият ос ёмас тэ̄лат ва̄рум хо̄тпат о̄вылтыт са̄в потыр хассыт, матыр-а̄ти та̄ра-паттысыт, пуссын ёл-хас­саныл, кина-охсат ва̄р­сыт."
112,"Ма̄н ань о̄с аквтох ты рӯпитэ̄в, па̄выл ма̄хманув ёт потраме̄в, китыглахтэ̄в, пӯмыщ потраныл акван-атыянув, то̄ванакт кина-охсат ва̄ре̄в."
113,"Ха̄льӯс ос районт о̄лнэ музеит ёт рӯпитэ̄в, Ханты-Мансийский округув яны­тыл музеитыт рӯ­питан ма̄хум ёт о̄с ва̄йхатэ̄в, ха­ла­нувт матыр-а̄ти китыг­лахтэ̄в, акван-нё̄тха­тым ханищтахтэ̄в."
114,"– Вера Павловна, Саранпа̄выл музей хунь ва̄рвес?"
115,– Па̄влувт о̄лнэ Совет Ветеранов колн ялантан ма̄хум та̄н номылматсыт тамле музей ва̄руӈкве.
116,"1993 та̄л па̄сныл нас этнографический центр о̄лыс, яныгхо̄тпат тув э̄рнэ нэ̄пакыт, са̄всыр хурит ос пе̄с пормасыт ва̄тихал тотсыт."
117,Тувыл центр Ха̄льӯст о̄лнэ историко-краеведчес­кий музей нупыл хансуӈ­кве номылматвес.
118,"2002 та̄лт тув та хасвес, ань колув та̄ланэ та па̄сныл ловиньтавет."
119,Та̄л котиль э̄тпос 3 хо̄талэ̄т 2022 та̄лт Саран­па̄выл музей 20 та̄лэ то̄влы.
120,Кульпас па̄выл «На̄йо̄тыр ма̄» музей ос ты порат 30 та̄лэ то̄влы.
121,"Лӯпта э̄тпост тах Куль­пасн ялэ̄в, ты ялпыӈхо̄та­лув порат тот мощ мӯйлэ̄в, номсэ̄гум, тув са̄в хо̄тпа ялуӈкве ве̄рми."
122,"– На̄н музеин тамле яныг колт о̄лы, ань улпыл са̄всыр суссылтапыт ва̄­руӈкве ве̄рмегы̄н?"
123,– Тыг ма̄н 2014 та̄лт пормасыӈ-лӯтыӈ та̄гыл ва̄нтлысӯв.
124,Ты колт клуб ос нэ̄пак о̄щнэ колнакыт о̄лэ̄гыт.
125,"Аквта та̄л ма̄н тыт о̄выл суссылтап ва̄рсӯв, «Люди хрустальных рек» намаяслӯв."
126,"Ты колнакув щё̄питаӈ­кве Тюмень ӯсныл музей тэ̄ла ва̄нэ хо̄тпат ёхтала­сыт, рущ щирыл ла̄вавет: специалисты музейных технологий."
127,"Са̄лы ос э̄лум­хо̄лас хурит ва̄рсыт, сома лылыӈ ӯй­хул ман хо̄тпа ка̄саласӯв."
128,"Тувыл на̄йпос постын са̄всыр лампоч­кат хо̄т-а̄ти тагта­ласыт, э̄рыг ман потырсуй хӯнт­лын ма̄гыс сыре-сыр то̄­тап­совыт щё̄­питасыт."
129,"Ань матыр сун­суӈкве ман хӯнтлуӈ­кве э̄рмыглы те, туп ка̄та­нув тув понюм­та̄лы­янӯв, тамат утанув тай та сумыл­лэ̄гыт-ква̄ла­пе̄гыт – потыр суйты, на̄й­пос мирги, ёнгын кук­лат йӣ­кве̄­гыт."
130,"«Люди хрустальных рек» суссылтап ма̄гыс пормас-маснут па̄выл ма̄хманув та̄н тотыгласыт, музеювн мӯйлуптасаныл."
131,Ты колнакт ма̄н ты ма̄т пе̄с та̄гыл о̄лнэ ма̄ньщи ос саран мирыг о̄лупса урыл потыртэ̄в.
132,"– Матъёмас на̄н ты ма̄т о̄лнэ мирыг урыл потыртэ̄гын, ань яныгман ня̄врамыт пе̄с порат ва̄ӈкв патыяныл."
133,– Манрыг ты мирыг о̄вылтыт суссылтапув ва̄­рыслӯв?
134,"Ань таи ма̄гыс – ты ма̄н Нё̄р та па̄лныл саран ма̄хум 1842 та̄лт ёхтысыт, тыт о̄выл ё̄рн­кол тӯщтысыт."
135,Тувыл тыт акваг та о̄лмыгтасыт.
136,"Ос ма̄ньщи ма̄хум ляпат ӯн­лын па̄вланылт о̄лсыт – Я̄сунтыт, Сӯкыръят, Ха̄ӈлат, Мувыӈте̄с ос мо̄т па̄влытт."
137,Саран ма̄хум ё̄рнкола­ныл тӯщтум ма̄ ма̄ньщи хо̄тпатын тох ла̄вуӈкве патвес: «Саран па̄выл».
138,Ётыл рущ щирыл э̄лаль тох та патвес ла̄вуӈкве – Саранпауль.
139,"Саран ма̄хум на̄лув ва̄глынэ̄ныл па̄сныл, та̄н ос ма̄ньщи мир акв ляпат о̄луӈкве патсыт – Нё̄рт са̄лы ӯрим аквъёт яласаӈ­кве патсыт, акван-нё̄тха­тым рӯпитасыт, акв ё̄рн­колт о̄лсыт."
140,"Ётыл ма̄ньщи нэ̄т саран хум ва̄руӈ­кве патсыт, манос саран хум ма̄ньщи нэ̄ тоты."
141,"Пе̄с та̄гыл ань тыхо̄тал мус ты кит мирыг са̄лыӈ ма̄хманыл акв ё̄рнколт о̄лэ̄гыт, о̄лупсав аква."
142,"Ма̄н ань о̄с акв выс­та­вка щё̄питэ̄в, ты та̄л таве мирн суссылтаӈкве о̄вылтылӯв – геологыт урыл."
143,"Ма̄н ма̄вт нё̄р а̄хв­тас (хрусталь) кинсым манах геологический пар­тият о̄лсыт, хо̄т та̄н рӯпи­тасыт ос о̄лнэ коланыл хоты ма̄т ӯнлысыт."
144,"Ма̄н ань ты тэ̄ла урыл э̄рнэ нэ̄пакыт акван-атэ̄в, матыр-а̄ти та̄ра-паттэ̄в, яныгхо̄тпат китыглыянӯв."
145,"Тыт ань нэ̄мат геоло­ги­ческий экспедиция а̄тим, ма̄н о̄лнэ ма̄вт рӯ­пи­та­ма­ныл ань нас номыл­ма­та̄­лыянӯв – «Сосьвапром­гео­логия» ос «По­ля­р­но-Ураль­ская экспе­ди­ция»."
146,Ты колыг тыт 1935 та̄л па̄сныл рӯ­пи­та­сы̄г.
147,"Ты суссылтапыт тах сыре-сыр а̄хвтасыт, гео­логыт о̄ньщам пормаса­ныл, о̄щнутаныл ка̄салаӈ­кве ро̄ви."
148,"Ты ма̄хум урыл са̄всыр потыр хӯнтамлэ̄в, э̄рнэ нэ̄паканыл ловинь­тэ̄в, хурит ка̄салэ̄в."
149,– Победа хо̄тал 70 та̄лэ то̄влын кастыл на̄н музеин «Птицы светлой памяти» нэ̄пак щё̄питас.
150,"Ты сака ёмас, э̄рнэ нэ̄пак."
151,"Саранпа̄вылт ос мо̄т па̄в­лытт о̄лнэ ма̄хум ты нэ̄пак ма̄гыс на̄нанн сымыӈ ла̄тыӈ, пӯмащипа ла̄тыӈ ла̄ве̄гыт."
152,"– Ма̄н суссылтапыт коны-пал, научно-иссле­до­вательский рӯпата ва̄­ре̄в ос са̄всыр проектыт щё̄питэ̄в."
153,«Птицы светлой памяти» нэ̄пак ма̄н 2015 та̄лт Победа хо̄тал 70 та̄лэ то̄влын кастыл хансыс­лӯв.
154,Ётыл тах китыт тамле нэ̄пак та̄ратэ̄в.
155,"Ты нэ̄пакын хо̄нтлам ма̄хум пуссын хансуӈкве ат ве̄рмысанӯв, сака са̄в хо̄тпа, наманыл акв нэ̄па­кын хансуӈкве ат ла̄псыт."
156,"То̄ва хо̄тпат хурия­ныл ат хо̄нтсанӯв, рӯтаныл о̄с ат о̄ньще̄гыт, то̄ва ма̄хум самын патум та̄ланыл, о̄лум ма̄наныл та̄ра-пат­тыя­нув."
157,2017 та̄лт «Сердечная душа саранпаульского детства» нэ̄пакув ва̄рвес.
158,Ты нэ̄пак Саранпа̄вылт о̄лнэ ня̄врамыт садикыт урыл хансым о̄лы.
159,"Наталья Ивановна Вокуева са̄в та̄л воспитателиг рӯпитас, нэ̄ ла̄выс, ня̄врам колыт урыл нэ̄пак вос та̄рата­нувӯв, са̄в потыр о̄лы."
160,"Тувыл ма̄н са̄в та̄л воспи­та­телиг рӯпитам нэ̄квет ёт потрыт атуӈкве патсӯв, ётыл нэ̄пак ва̄рсӯв."
161,"«Малышок» садик ты порат 63 та̄лэ то̄влыс, «Ёлочка» – 54, «Оленёнок» – 46 та̄лэ."
162,Нэ̄пакын са̄в та̄л сыс по̄с­лым хурит ос ня̄в­рамыт ка̄тыл по̄слум хурияныл ва̄рсанув.
163,"Ном­сэ̄в, ты урыл ловиньтаӈ­кве пӯмыщ, ка̄сыӈ хо̄тпа о̄выл воспи­тателе оматэ хольт о̄лнэ̄тэ палыт номуӈ­кве патытэ."
164,Ань потруме̄н та оиг­пас.
165,Вера Павловнан потре ма̄гыс пӯмащипа ла̄тыӈ ла̄ве̄гум.
166,"Музейт рӯпитан нэ̄квет пуста̄гыл вос о̄лэ̄гыт, Сакв ма̄хма­нув о̄вылтыт мӯй мирн вос потыртэ̄гыт."
167,Светлана РОМБАНДЕЕВА
168,Мо̄лты та̄лт акв ханищтап са̄всыр пӯмыщ ва̄рмалит та̄ра-паттысанӯв.
169,Акв тэ̄ла урыл нэ̄пак ловиньтан окружной колт рӯпитан а̄ги Нина Пляцек потыртас.
170,"А̄ги ищхӣпыӈ ут хосыт йильпи та̄ратам нэ̄пак так­талас ос тох ла̄выс:
«Ма̄н, нэ̄пакыт ловинь­тан колт, Юграт Ассоциа­ция о̄нь­ще̄в."
171,Тот проектыт щё̄пи­тэ̄в ос сыресыр ка­сылытн ке̄тыянӯв.
172,Тувыл ты проек­тыт э̄лаль тэ̄лаг ва̄риянӯв.
173,2019 та̄лт «Бумаж­ная Сова» нампа комикс-центр ня̄врамыт ос ма̄нь­лат хо̄тпат ма̄гыс щё̄пи­таслӯв.
174,Таве ва̄рнэ ма̄гыс ку­ль­тура департа­мент па̄лыл грант-олныл нё̄т­ве­сӯв.
175,Ма̄н ань ня̄вра­мыт са̄в­сыр ном­тыӈ тэ̄лан ханищ­ты­янӯв.
176,"Та̄н яныг пот­рыт ло­винь­таӈкве ат ка̄са­ще̄гыт, таи­ма̄гыс ма̄н потрыт йильпи щирыл ва̄­руӈкве номыл­матсанӯв."
177,"Рущ щирыл та̄н комик­сыг ла̄вавет, тот э̄лумхо̄­лас матыр о̄лупса тэ̄ланэ хурин по̄славет ос тув то̄ва ла̄тӈанэ хансавет."
178,Тох ты э̄лумхо̄лас ос тав ва̄рум наканэ ма̄ньлат хо̄тпатн ва̄ӈкве патавет.
179,"Сосса ма̄­хум о̄с са̄в пӯмыщ мо̄йтыт ос пе̄с потрыт о̄ньще̄гыт, та̄н хурин по̄слуӈ­кве ро̄ве̄гыт."
180,"2020 та̄лт ма̄н кит нэ̄па­кыг ва̄руӈкве номылмат­сӯв ос тэ̄натэ̄н ва̄рнэ ма̄­гыс проект хассӯв, тувыл Финляндия мо̄т хо̄н ма̄н касылн ке̄тыслӯв."
181,"Акв нэ̄пак «Мифы и предания хантов и манси в комиксах» намтыслӯв, мо̄танэ «Легендарные истории Югры»."
182,О̄выл рӯпатат хантыт ос ма̄ньщит пе̄с накыт комиксыг по̄слум хурит хольт суссылтаӈкве ос акв-кит ла̄тӈыл потыртаӈ­кве э̄рсыт.
183,Мо̄тыт нэ̄пакт Юграт самын патум хо̄тпа ма̄кыг о̄лум наканэ хӯл­тавет ос мирн потыртавет.
184,Ты ва̄рмалит э̄лаль тотнэ ма̄гыс ма̄н округт о̄лнэ ма̄хум ёт акван-нё̄тхатым рӯпитаӈкве тахсӯв.
185,Тувыл сас ты проектыг ва̄руӈкве М.А. Кастрен нампа общества па̄лыл грант-олныл майвесы̄г.
186,Ма̄н мирн ла̄тыӈ ке̄тсӯв ос комикс-нэ̄пакн потрыт атуӈкве та̄наныл во̄всанӯв.
187,"Ань та̄н нё̄тмиланыл кастыл ты нэ̄пакыг ёмщакв щё̄питаве̄г, ос ты ма̄хумн яныг пӯмащипа ла̄тыӈ ла̄ве̄гум."
188,На̄н та̄н наманыл пуссын нэ̄пакт тах ка̄салы­яны̄н».
189,Ты э̄лы-па̄лт «Бумаж­ная сова» комикс-центр па̄лыл та̄н ва̄т нупыл акв сыресыр ханищтапыт ва̄рыгласыт.
190,Тот ма̄хум матыр по̄слуӈкве ос потыр-охсат хансуӈкве ханищтасаныл.
191,"Ты центрыт рӯпитан ма̄ньлат ма̄хум ла̄ве̄гыт, та̄н комиксыт ва̄рнэ тэ̄лат та̄нки пе̄с о̄выл комикс-журналыт сунсыглым ём­щакв по̄слуӈкве патсыт."
192,"Тот матыр-а̄ти э̄рнэ ва̄р­малит та̄ра-паттысыт, ту­выл мо̄т хо̄т­пат палт ки­тыглахтым са̄в мӯтран ха­нищтаве̄сыт."
