,target,source,comment
65,акван-хо̄нтхатуӈкве,встретиться,
66,акван-хо̄нтхатыгла̄луӈкве,встречаться,
67,акван-хо̄нтха̄тыл,встреча,
68,акват,,гл. прист. указывает на совместное пребывание
69,акват-о̄луӈкве,жить вместе,
70,аквке̄м,равный,
71,аквма̄гылта̄рс,рядом,плечом к плечу
72,аквма̄гылта̄рс минуӈкве,идти рядом,
73,аквматнакт,однажды,
74,аквнакт,однажды,
75,аквнакт,один раз,
76,аквнакт,раз,
77,акв-онтсыл,рядом,
78,аквписыг,всегда,
79,аквписыг,навсегда,
80,аквписыг,постоянно,
81,аквписыг,вечно,
82,аквписыг,навечно,
83,аквписыг о̄луӈкве,постоянный,
84,аквпо̄сыӈ,однозначный,
85,аквса̄вӣтыл,поровну,
86,аквсёс,при счёте раз,
87,аквсёсыӈ,однократный,
88,аквсӣрыл,одинаково,
89,аквсӣрыл-лю̄люмтаӈкве,строиться,в колонну
90,аквсӣрыл-пинтлаӈкве,уложить,что-либо в определенном порядке
91,аквсыр,одинаковый,
92,аквсыр,однородный,
93,аквтакумт,в тот же миг,
94,аквтамле,такой же,
95,аквтанакт,в тот же промежуток времени,
96,аквтапорат,тогда же,
97,аквтасӣрыл,таким же образом,
98,аквтаторыг,одновременно,
99,аквтаторыг,в тот же миг,
100,аквтахольт,таким же способом,
101,аквтахольт,точно так же,
102,аквтахо̄тал,в тот же день,
103,аквтахурип,такой же,
104,аквтахурип,одинаковый,
105,аквтаэ̄ртын,тогда же,
106,аквтаэ̄ртын,в то же время,
107,аквтаэт,в ту же ночь,
108,аквторыг,одновременно,
109,аквторыг,сразу,
110,аквтох,также,
111,аквтуп,будто,
112,аквтуп,словно,
113,аквтупмат,будто бы,
114,аквтупмат,словно,
115,аквтыкумт,сразу же,
116,аквтыкумт,в этот же момент,
117,аквхурип,одинаковый,
118,аквхурип,одного вида,
119,аквхурӣпа,одинаковый,
120,аквхурӣпа,одного вида,
121,аквъёт,вместе,
122,алхатуӈкве,драться,
123,алы,верхний,по течению реки
124,алы ма̄т о̄лнэ,южный,
125,алыгла̄луӈкве,добывать,зверя
126,алыгла̄луӈкве,рыбу,
127,аниглахтуӈкве,целоваться,
128,алыл,сверху,по течению реки
129,алысь,оружие,
130,алысьлан,промысловый,
131,алысьлаӈкве,промышлять,
132,асирма,холод,
133,асирма,мороз,
134,ам,я,
135,аманыр,что же,
136,аниглаӈкве,целовать,
137,аниглап,поцелуй,
138,ансамбль,ансамбль,
139,ань,сейчас,
140,аньмӯнт,недавно,
141,аньмӯнтнув,недавно,
142,аньты,настоящий,
143,аняпаӈкве,поцеловать,
144,апа,брат,старший
145,арге̄н,слишком,
146,арыгке̄м,слишком,
147,арыг,лишний,
148,арыгтаӈкве,высвободиться,
149,ас,короста,
150,асё̄йка,дед,по материнской линии
151,аста̄л,целый,без дыр
152,астал,тихо,
153,астал,молча,
154,алысьлап,ловля,
155,акван-лаквтуӈкве,сдвигать,
156,акван-консыгтахтыл,схватка,
157,акван-консыгла̄луӈкве,сгребать,
158,акван-атхатыглалуӈкве,собираться,
159,акван-атхатуӈкве,собраться,
160,акван-атуӈкве,собрать,
161,акван-атлыгтаӈкве,собрать,быстро
162,анькас,горох,
163,аня,куча,
164,аня, толпа,
165,ала,верхушка горы,
166,асирмаӈ,холодный,
167,асирмаӈ,морозный,
168,асирмаӈ,студёный,
169,аргин,медный,
170,алуӈкве,убить,
171,алы ма̄,юг,
172,асё̄йкакве,дедушка,по материнской линии
173,акикве,дедушка,
174,акван-пинтла̄луӈкве,складывать,
175,апыг,племянник,
176,апыг,племянница,
177,алпӣхар маснут,бельё,
178,большевик,большевик,
179,асыӈ,дырявый,
180,ат,пять,
181,ат иӈ,даже не,
182,атантаӈкве,откладывать,приберегать
183,атая̄луӈкве,понюхать,
184,атая̄лыглаӈкве,почуять,много раз
185,атаяӈкве,почуять,
186,атаяӈкве,чуять,
187,атиӈк,вдруг,
188,атиӈк,а вдруг,
189,атпан,пятьдесят,
190,атса̄т,пятьсот,
191,атта̄л,не имеющий запаха,
192,атувъя̄луӈкве,понюхать,один раз
193,атуӈкве,собрать,
194,атуӈкве,собирать,
195,атхатуӈкве,собраться,
196,атхатыгла̄луӈкве,собираться,
197,атхойплов,пятнадцать,
198,атхуйпулув,пятнадцать,
199,атхунь,конечно,
200,атхунь,понятно,
201,атыгла̄луӈкве,собирать,много раз
202,атыньтаӈкве,нюхать,
203,атым о̄лнэ,собранный,
204,атыл,собирание,
205,атыӈ,вкусный,
206,атыӈ,сладкий,
207,атыӈысь,сладко,
208,атыр,ясный,о небе
209,атырхари,голубой,
210,атырхари,синий,
211,атыт,пятый,
212,атырхарпа,голубоватый,
213,атырхарпа,синеватый,
214,аюӈкве,пить,
215,аялаӈкве,выпить,
216,Советский Армия,Советская Армия,
217,амки,я сам,
218,а̄висӯнт,порог,о двери
219,а̄врах,обрыв,
220,а̄гм,болезнь,
221,а̄гмалтаӈкве,одеревенеть,
222,а̄гмыл е̄мтуӈкве,заболеть,
223,а̄гмыӈ,больной,
224,а̄гмы̄ӈысь,больно,
225,а̄гмлаӈкве,болеть,о человеке
226,а̄гтыгла̄луӈкве,убеждаться,
227,агтыгла̄луӈкве,убеждаться,
228,а̄кань,кукла,
229,а̄кань,кукольный,
230,а̄ква,тётя,
231,а̄кв,тётя,
232,а̄квэ̄ква,старуха,
233,а̄ла,чуть,
234,а̄ла,едва,
235,а̄лмта̄луӈкве,носить,на руках
236,а̄лмта̄лыглаӈкве,носить,на руках
237,а̄лн,таймень,
238,а̄лнхул,таймень,
239,а̄лпыл пора,утро,
240,а̄лумтаӈкве,таскать,
241,а̄лыма̄лыглаӈкве,успевать,
242,а̄лыма̄лыглаӈкве,поспевать,
243,а̄лымаӈкве,успеть,
244,а̄сь нам,отчество,
245,а̄мараӈкве,залить,
246,а̄мараӈкве,затопить,водой
247,а̄мартаӈкве,зачерпнуть,
248,а̄мп сов,собачья шкура,
249,а̄мпыӈ,собачий,
250,а̄мпыӈ хо̄тпа,имеющий собаку,
251,а̄мпкол,собачья конура,
252,а̄мсюӈкве,загадывать загадки,
253,а̄мысь,загадка,
254,а̄нас,обоз,
255,а̄мысь ла̄вуӈкве,загадать загадку,
256,а̄ниӈ,питательный,
257,а̄ны̄сан,посуда,
258,а̄нь,питательность продукта,
259,а̄ньтыӈ,рогатый,
260,а̄ӈквал,пень,
261,а̄ӈквата̄луӈкве,посмотреть,
262,а̄ӈкватаӈкве,взглянуть,
263,а̄па,люлька,
264,а̄прамтахтуӈкве,суетиться,
265,а̄прыгла̄луӈкве,быть быстрым,
266,а̄прыгла̄луӈкве,ловким,
267,а̄прыӈ,быстрый,
268,а̄прыӈ,ловкий,
269,а̄прыӈ,расторопный,
270,а̄прыӈысь,бойко,
271,а̄прыӈысь,проворно,
272,а̄рнта,долг,
273,а̄ртала̄лыглаӈкве,пробовать,много раз
274,а̄рталахтуӈкве,пробовать,пытаться сделать что-либо
275,а̄рталаӈкве,пробовать,
276,а̄рталаӈкве,попробовать,
277,а̄рталахтыглаӈкве,пытаться,много раз что-то сделать
278,а̄ртмил,удача,
279,а̄ртмилыӈ,удачный,
280,а̄ртмуӈкве,получиться,удаться
281,а̄ртмыгла̄луӈкве,удаваться,
282,а̄сталаӈкве,кончить,
283,а̄сталаӈкве,докончить,
284,а̄сталаӈкве,закончить,
285,а̄сталаӈкве,окончить,
286,а̄стапаӈкве,кончиться,
287,а̄стла̄лыглаӈкве,доканчивать,
288,а̄стла̄лыглаӈкве,заканчивать,
289,а̄стла̄нтуӈкве,заканчивать,не торопясь
290,а̄стлахтуӈкве,готовиться,
291,а̄стуӈкве,кончить,
292,а̄стуӈкве,перестать,
293,а̄стуӈкве,закончиться,
294,а̄стуӈкве,окончиться,
295,а̄ступта̄луӈкве,заканчивать,много раз
296,а̄ступтаӈкве,закончить,
297,а̄т,волос,
298,а̄ти,нет,
299,а̄тим,нет,
300,а̄тим,отсутствует,отрицательный глагол
301,а̄тыл,быстрое хватание,
302,а̄тыӈ,волосатый,
303,бригада,бригада,
304,а̄хвсалаӈкве,раздевать,
305,а̄хвсалахтын колнак,раздевалка,
306,а̄хвта̄спут хольт ю̄ныгтахтуӈкве,посинеть,
307,а̄хвтасыӈ,каменистый,
308,а̄хвтасыл,мостовая,букв. покрытый камнем
309,а̄хт,протока,вытекающая из озера
310,а̄хт,старицы,
311,барабан,барабан,
312,барабанщик,барабанщик,
313,башня,башня,
314,билет,билет,
315,бригадир,бригадир,
316,Кремль башнят,башни Кремля,
317,матумыг е̄мтум большевик,старый большевик,
318,ва̄г,сила,
319,ва̄гта̄л,слабый,
320,ва̄гта̄л патум,усталый,
321,ва̄гта̄л патуӈкве,устать,
322,ва̄гта̄л хар,беспомощный,
323,ва̄гыӈ,мощный,
324,ва̄гыӈ,сильный,
325,ва̄йпум,стелька,травяная
326,ва̄йхатуӈкве,знакомиться,
327,ва̄льсям,стружка,
328,ва̄нсы,трава,молодая
329,ва̄нсы,мурава,
330,ва̄нсыӈ,травяной,
331,ва̄нсыӈ ма̄,луговина,
332,ва̄нсыӈ ма̄,покрытая муравой,
333,атхатам ма̄хум,куча,
334,атхатам ма̄хум, толпа,
335,а̄ны пис,блюдце,
336,а̄хвтас а̄ны,сковорода,
337,а̄ви,дверь,
338,ва̄й,кисы,меховая обувь
339,а̄ны,чашка,
340,а̄хвтас,камень,
341,а̄рась,очаг,
342,а̄рась,огонь,
343,а̄ӈха,куропатка,
344,а̄ӈкв,лосиха,старая
345,а̄ньт,рог,
346,а̄мп,собачий,
347,а̄пси,брат,младший
348,а̄ӈквпыг,брат,двоюродный
349,а̄ӈквпыг,по материнской линии,
350,а̄лпыл,утренний,
351,а̄гирись,девочка,
352,а̄ги,девушка,
353,а̄тя,папа,
354,ва̄нтала̄луӈкве,кочевать,долго
355,ва̄нтата̄луӈкве,водить,за руку
356,ва̄нтата̄луӈкве,за узду),продолжительное время
357,ва̄нтлаӈкве,переехать,
358,ва̄нтлыгла̄луӈкве,переезжать,
359,ва̄нттуӈкве,вести,за руку
360,ва̄нттуӈкве,за узду,
361,ва̄нттыгла̄луӈкве,вести,много раз
362,ва̄нэ ва̄рмаль,знание,
363,ва̄ӈкариӈ,развилистый,
364,ва̄ӈкариӈ,кривой,
365,ва̄ӈкариӈ,косой,
366,ва̄нэ,знакомый,
367,ва̄ӈкве,знать,
368,ва̄ӈклатаӈкве,споткнуться,
369,ва̄ӈклыгтаӈкве,проползти,быстро
370,ва̄ӈксаӈкве,ползать,
371,ва̄ӈкуӈкве,ползти,
372,ва̄ӈкыртаӈкве,зацепить крючком,
373,ва̄ӈкыртаӈкве,багром,
374,ва̄рапаӈкве,сделать,быстро
375,ва̄ӈын,плечо,
376,ва̄рмаль,дело,
377,ва̄ртул,приём,
378,ва̄ртул,способ,
379,ва̄руӈкве,делать,
380,ва̄руӈкве,сделать,
381,ва̄руӈкве,изготовить,
382,ва̄руӈкве,приготовить,
383,ва̄рхатуӈкве,превратиться,в кого-либо
384,ва̄рхатуӈкве,делаться,из чего-либо
385,ва̄рхатыгла̄луӈкве,превращаться,в кого-либо
386,ва̄рыгла̄луӈкве,делать,
387,ва̄синтаӈкве,видывать,
388,ва̄рылтаӈкве,дать,
389,ва̄спы̄грись,утёнок,
390,ва̄ссыг,больше,не
391,ва̄ссыг ат ёхтэ̄гум,больше не приду,
392,ва̄сыта̄нтуӈкве,вываривать,медленно
393,ва̄сытаӈкве,выварить,
394,ва̄т,тридцать,
395,ва̄т са̄грапнал,январь,
396,ва̄та̄л,незнакомый,
397,ва̄та̄л,неизвестный,
398,ва̄та̄л-хасьта̄л,случайный,
399,ва̄та̄л-хасьта̄л,совсем незнакомый,
400,ва̄ти,короткий,
401,ва̄ти,краткий,
402,ва̄тима̄нтуӈкве,приближаться,
403,ва̄ти сирыл,кратко,
404,ва̄ти хо̄тал э̄тпос,декабрь,
405,ва̄тииг,сокращенно,
406,ва̄тимаӈкве,приблизиться,
407,ва̄тихал,часто,
408,вольгуӈкве,блестеть,
409,вольгуӈкве,сверкать,о воде
410,вольгуӈкве,снеге,
411,ва̄тихал ва̄рыглаӈкве,участить,
412,ва̄тихал о̄лыглан,частый,
413,ва̄тлтаӈкве,позволить,
414,ва̄тлтаӈкве,допустить,
415,ва̄тлтаӈкве,просить,собирать ягоды
416,ва̄туӈкве,собирать ягоды,
417,ве̄ритаӈкве,терпеть,
418,великий,великий,
419,Великий Октябрьский революция,Великая Октябрьская революция,
420,ве̄рмуӈкве,мочь,
421,ве̄рмуӈкве,смочь,
422,ве̄ртпи,терпение,
423,ве̄ртпиӈ,терпеливый,
424,ве̄ска,весы,
425,ве̄стуӈкве,спасти,
426,ве̄стуӈкве,выручить,
427,ве̄стыл,спасение,
428,ве̄стхатуӈкве,спастись,
429,ве̄стхатыгла̄луӈкве,спасаться,
430,ве̄ськат,правда,
431,ве̄ськат сирыл,справедливо,
432,ве̄ськат сирыл,честно,
433,ве̄ськатыг,искренне,
434,ве̄ськатыг,честно,
435,ве̄ськатыг о̄лнэ,правдивый,
436,ве̄ськатыг хӯлтнэ,точный,
437,вӣльт,лицо,
438,витта̄л пора,засуха,
439,вӣльтъят,лоб,
440,вӣӈкве,(ам вы̄гум,
441,вӣӈкве,наӈ вы̄гын,
442,вӣӈкве,нэ̄н выгы̄н,
443,вӣӈкве,на̄н выгы̄н,
444,витво̄ӈха,прорубь,
445,вит вит,ведро,берестяное
446,вольгыгла̄луӈкве,блестеть,иногда
447,витн сялтуӈкве,утонуть,
448,витн уйттуӈкве,топить в воде,заставить тонуть
449,вит а̄мартан во̄ӈха,колодец,
450,витхарыӈ,сыро,
451,витыӈ,камыш,
452,вит во̄ӈха,бассейн,
453,витыӈ кан,бассейн,
454,витыӈ харпа,сырой,
455,витыӈ харпа,влажный,
456,власть,власть,
457,во̄вил,призыв,приглашение
458,во̄вта,тонкий,о ткани
459,во̄втаг,тонко,
460,во̄вуӈкве,звать,
461,во̄вуӈкве,призвать,
462,во̄вхатуӈкве,проситься,
463,во̄выгла̄луӈкве,требовать,
464,во̄иӈ,жирный,
465,вожатый,вожатый,
466,вождь,вождь,
467,воигла̄луӈкве,получать,
468,воигла̄луӈкве,брать,много раз
469,войкан,белый,
470,войкан,светлый,
471,войхатуӈкве,приниматься,
472,войхатуӈкве,приняться,
473,войхатыгла̄луӈкве,браться,много раз
474,"волик, вольк",скользко,
475,волтуӈкве,строгать,
476,"воль, вольгил",блеск,
477,вольгыӈ,блестящий,
478,волькатаӈкве,поскользнуться,
479,волькуӈкве,скользить,
480,волькыгла̄луӈкве,скользить,много раз
481,волятаӈкве,блеснуть,
482,во̄ньхантаӈкве,существовать,
483,во̄ньхуӈкве,существовать,
484,воӈынлаӈкве,натянуть,туго 
485,воӈынлаӈкве,растянуть,
486,во̄псатаӈкве,мелькнуть,
487,во̄псуӈкве,мелькать,
488,во̄р ӯйхул,хищник,
489,во̄р ӯйхул,хищный,
490,во̄р ӯргалан хо̄тпа,лесник,
491,ворасьлаӈкве,спорить,
492,ворасьлап,спор,
493,ворасьлахтапаӈкве,поспорить,
494,ворасьлахтмыгтаӈкве,заспорить,
495,ворасьлахтуӈкве,спорить,
496,ворасьлахтын потыр,ссора,
497,воратаӈкве,стремиться,
498,воратаӈкве,порываться,
499,воратаӈкве,проситься, что-либо сделать
500,во̄раян,охотничий,
501,во̄раяӈкве,охотиться,на диких зверей
502,воргуӈкве,сверкать,о воде
503,воргуӈкве,снеге,
504,воргыгла̄луӈкве,сверкать,иногда
505,вори,упрямство,
506,ва̄та,побережье,
507,воӈха,логово,
508,ве̄тра,ведро,
509,во̄нтыр,выдра,
510,витсам,капля,
511,вӣльт сэ̄гнэ то̄р,полотенце,
512,война,война,
513,ва̄с,утка,
514,вит киснял,струя воды,
515,вит,вода,
516,во̄р ва̄та,опушка леса,
517,во̄ре е̄р,опушка леса,
518,во̄раян пора,охота,
519,во̄р,лесной,
520,во̄р,дикий,
521,во̄р сяхыл,роща,
522,во̄й,жир,
523,во̄й,масло,
524,войкан колас пум,пшеница,
525,ворил,еле,
526,ворил, едва,насилу
527,вориӈ,упрямый,
528,вориӈ,настойчивый,о человеке
529,воритотуӈкве,бороться,
530,воритотнэ ва̄рмаль,борьба,
531,ворсик,трясогузка,
532,во̄ртуӈкве,подпереть,
533,во̄ртуӈкве,насторожить,ловушку
534,во̄ртур э̄тпос,август,
535,во̄ртыпа̄л,левый,
536,во̄ртыпа̄лн,влево,
537,во̄ртыпа̄лн,налево,
538,во̄руй,зверь,
539,во̄руй,звериный,
540,во̄рупнэ,ронжа,
541,во̄рупнэ,кедровка,
542,"вос, вус",пусть,
543,вос-воснэ,камышовка,
544,восгасаӈкве,шепнуть,
545,восгасаӈкве,прошептать,
546,восгуӈкве,шептать,
547,восгуӈкве,прошептать,
548,восых,тусклый,
549,воссыг,больше,не
550,воськасаӈкве,кинуть,
551,воськасаӈкве,кидать,
552,воськасаӈкве,метнуть,
553,во̄сьлуӈкве,горевать,
554,восьлуӈкве,помяться,о металле
555,во̄сьлыл,печаль,
556,восьрам,желчь,
557,восьрам,горечь,
558,восьрам-вы̄гырхарпа,оранжевый,
559,восьрамхарп,жёлтый,
560,восьрамыг е̄мтуӈкве,пожелтеть,
561,восьрамыӈ,горький,
562,восьрамыӈ,кислый,
563,восьрамыг на̄ӈкуӈкве,желтеть,
564,восьрамыг сусхатуӈкве,желтеть,
565,во̄т,ветер,
566,во̄тастаӈкве,дуть,о ветре
567,вотгалаӈкве,гладить,
568,вотгалаӈкве,ласкать,рукой
569,вотгасьлаӈкве,погладить,
570,вотгасьлаӈкве,приласкать,
571,вотгуӈкве,гладить,грубовато
572,во̄тлахтуӈкве,проветриться,
573,во̄тлуӈкве,проветрить,
574,во̄тлыгла̄луӈкве,проветривать,
575,войкан витуп Ас,беловодная Обь,
576,во̄тмыгтаӈкве,подуть,о ветре
577,во̄тпартаӈ,ветерок,рябь на воде
578,во̄тпыг,вихрь,
579,во̄туӈкве,дуть,о ветре
580,вотуӈкве,надеть,лыжи-подволоки
581,во̄тым,седой,
582,во̄тыӈ,ветреный,
583,воянта̄лыглаӈкве,защищать,
584,воянта̄лыглаӈкве,заступаться,
585,воянтан хо̄тпа,защитник,
586,воянтаӈкве,защитить,
587,воянтаӈкве,отстоять,
588,воянтахтуӈкве,защищаться,
589,враг,враг,
590,выборы,выборы,
591,выгратаӈкве,краснеть,
592,выгратаӈкве,покраснеть,
593,выгырнув-харпа,розовый,
594,выгрыг е̄мтуӈкве,покраснеть,
595,вы̄гыр,красный,
596,вы̄гыр,бордовый,
597,вы̄гыр,рыжий,
598,выставка,выставка,
599,книгат выставка,книжная выставка,
600,а̄врах ва̄та,крутой берег,
601,газ,газ,
602,газ хот-харыгтаӈкве,выключить газ,
603,газета,газета,
604,галстук,галстук,
605,генерал,генерал,
606,геолог,геолог,
607,герб,герб,
608,герой,герой,
609,гимн,гимн,
610,горн,горн,
611,Горн рохтан суил минэ̄гыт,они идут под звуки горна,
612,государство,государство,
613,граница,граница,
614,Родинав гимн э̄ргаве,поётся гимн нашей Родины,
615,делегат,делегат,
616,демонстрациян минуӈкве,пойти на демонстрацию,
617,депутат,депутат,
618,директор,директор,
619,доктор,доктор,
620,дружба,дружба,
621,дружина,дружина,
622,пионерский дружина,пионерская дружина,
623,районный Совет депутатэ,депутат районного Совета,
624,СССР ма̄хум дружбаныл,дружба народов СССР,
625,съезд делегатэ,делегат съезда,
626,школа кӯсяй,директор школы,
627,ёл-ва̄глантаӈкве,спускаться,
628,ёл-ва̄глантаӈкве,слезать,
629,е̄мтала̄луӈкве,случаться,много раз
630,е̄мталаӈкве,попытаться,
631,е̄мтан,сталь,
632,е̄мтан,стальной,
633,е̄мтан,стальной,
634,е̄мтантаӈкве,становиться,сделаться
635,е̄мтантаӈкве,делаться,постепенно
636,е̄мтапаӈкве,оказаться,неожиданно
637,е̄мтуӈкве,получиться,
638,е̄мтуӈкве,появиться,
639,е̄мтыгла̄луӈкве,получаться,
640,е̄мтыгла̄луӈкве,появляться,
641,е̄ӈта,круглый,
642,е̄ӈта пувыр ут,шар,
643,е̄р,рубеж,
644,е̄р,граница,
645,е̄ри,кривой,
646,е̄рт о̄лнэ,крайний,
647,ехтуӈкве,промёрзнуть,
648,ёл-ва̄глуӈкве,спуститься,
649,ёл-ва̄глуӈкве,слезть,
650,ёл-ва̄глыгла̄луӈкве,слезать,
651,ёл-истыл,посадка,о самолёте
652,ёл-исыглаӈкве,сесть,ненадолго
653,ёл-исыглаӈкве,садиться,иногда
654,ёл-лаквуӈкве,сползти,
655,ёл-лаквыгла̄луӈкве,сползать,
656,ёл-лю̄люӈкве,остановиться,
657,ёл-мокырмахтуӈкве,нагнуться,
658,ёл-мокыртахтыгла̄луӈкве,нагибаться,
659,е̄мт,раз,
660,ёвтуӈкве,купить,
661,ёвтуӈкве,покупать,
662,ёвтнэ ут,покупка,
663,ёвтыглаӈкве,купить,один раз
664,ёвтыглаӈкве,иногда,
665,ёл,приставка,
666,ёл,указывает на направленность действия сверху вниз,
667,ёлаль,вниз,
668,ёлаль-нортнут,подстилка,
669,ёлн,внизу,
670,ёлн,низко,
671,ёлн-лю̄льнэ хурип ма̄,стоянка,
672,ёл-нэ̄гсалаӈкве,привязать,
673,ёл-оватаӈкве,стекать,
674,ёл-овуӈкве,стечь,о воде
675,ёл-оюӈкве,уснуть,
676,ёл-оилматуӈкве,заснуть,
677,ёл-оилматуӈкве,уснуть,
678,ёл-оянтаӈкве,засыпать,
679,ёл-паттуӈкве,валить,
680,ёл-паттуӈкве,заставлять,
681,ёл-паттуӈкве,падать,
682,ёл-паттуӈкве,свалить,
683,ёл-паттуӈкве,уронить,
684,ёл-патыгла̄луӈкве,падать,
685,ёл-патыглаӈкве,опасть,
686,ёл-патыглаӈкве,упасть,один раз
687,ёл-патыглаӈкве,иногда,
688,ёл-повара̄лыглаӈкве,скатиться,перекатываясь
689,ёл-повараӈкве,скатиться,перекатываясь
690,ёл-по̄илтта̄лыглаӈкве,остановить,
691,ёл-по̄илттаӈкве,остановить,
692,во̄рто̄лнут во̄ӈха,берлога,
693,восток,восток,
694,ёл-патуӈкве,упасть,
695,ёл-патуӈкве,опасть,
696,ёл-патуӈкве,валиться,о листьях
697,е̄ри со̄схатн ракв,проливной дождь,
698,е̄ртысьма,непогода,
699,во̄рто̄лнут,медведь,
700,во̄рто̄лнойка,медведь,
701,во̄тас,вьюга,
702,ёл-пойтуӈкве,остановиться,
703,ёл-пойтыгла̄луӈкве,останавливаться,
704,ёл-понигла̄луӈкве,проваливаться,
705,ёл-понигла̄луӈкве,оседать,о земле
706,ёл-пониглаӈкве,провалиться,
707,ёл-пониглаӈкве,осесть,о земле
708,ёл-порыгма̄лыглаӈкве,спрыгивать,
709,ёл-порыгмаӈкве,спрыгнуть,
710,ёл-пувуӈкве,задержать,
711,ёл-пувуӈкве,удержать,
712,ёл-пувуӈкве,поймать,
713,ёл-пувыгла̄луӈкве,задерживать,
714,ёл-пувыгла̄луӈкве,удерживать,
715,ёл-рагатаӈкве,упасть,
716,ёл-рагатаӈкве,свалиться,
717,ёл-ра̄гпуӈкве,провалиться,
718,ёл-ра̄гпуӈкве,обрушиться,о постройке
719,ёл-ра̄гпыгла̄луӈкве,проваливаться,
720,ёл-ра̄гпыгла̄луӈкве,обрушиваться,о постройке
721,ёл-ротмалтаӈкве,успокоить,
722,ёл-ротмуӈкве,успокоиться,
723,ёл-ротмыглаӈкве,успокоиться,ненадолго
724,ёл-са̄грапаӈкве,срубить,
725,ёлсаӈкве,намочить,
726,ёлсаӈкве,мочить,
727,ёл-са̄груӈкве,срубать,
728,ёл-сартуӈкве,спилить,
729,ёл-сё̄пита̄лыглаӈкве,хоронить,много раз
730,ёл-сё̄питаӈкве,похоронить,
731,ёл-сё̄пита̄хтуӈкве,укладывать,вещи
732,ёл-со̄суӈкве,пролить,
733,ёл-со̄сыгла̄луӈкве,проливать,
734,ёл-та̄рматаӈкве,опустить,
735,ёл-та̄рта̄лыглаӈкве,опуститься,
736,ёл-та̄ртантаӈкве,спускать,
737,ёл-та̄ртаӈкве,опустить,
738,ёл-та̄ртаӈкве,спустить,
739,ёл-та̄ртахтуӈкве,опуститься,
740,ёл-та̄ртыглаӈкве,опустить,на время
741,ёл-тахамтаӈкве,съехать,
742,ёл-тахамтаӈкве,скатиться,с горы
743,ёл-тыламлаӈкве,спуститься,о птице
744,ёл-уйттуптаӈкве,потопить,
745,ёл-уйтхатуӈкве,погрузиться,в жидкость
746,ёл-ӯнтантаӈкве,усаживаться,
747,ёл-ӯнттуӈкве,поставить,посуду
748,ёл-ӯнттуӈкве,стол,
749,ёл-ӯнттуӈкве,стул,
750,ёл-унттыгла̄луӈкве,ставить,много раз
751,ёл-ӯнтуӈкве,садиться,
752,ёл-ӯнтуӈкве,усесться,
753,ёл-хуигпаӈкве,лечь,быстро
754,ёл-ха̄йтуӈкве,сбежать,вниз
755,ёл-хӯтуӈкве,нагнуться,
756,ёл-хӯтуӈкве,наклониться,
757,ёл-хӯтыгла̄луӈкве,наклоняться,
