|target|source
21|Тав мāхум кӯсяй хольт ханисьтасанэ. Тав сāккон тотнэ хум хурипаг ат ōлыс, таимāгыс мāхум Тав осятахтыгласыт.|И дивились Его учению, ибо Он учил их, как власть имеющий, а не как книжники.
22|Та порат синагогат кулил вуим хōтпа ōлыс. Тав рōӈхалтахтас:|В синагоге их был человек, [одержимый] духом нечистым, и вскричал:
23|— Наӈын манавныл мāныр э̄ри, Назарет мāныл ёхтум Ӣсус? Наӈ мāнав порслаӈкве ёхтысын? Ам вāглум, Наӈ хотъют — Наӈ Тōрумныл ōлнэ Ялпыӈ!|оставь! что Тебе до нас, Иисус Назарянин? Ты пришел погубить нас! знаю Тебя, кто Ты, Святый Божий.
24|— Астал ōлэ̄н! — Ӣсус кантыӈысь ля̄галас. — Кон-минэ̄н!|Но Иисус запретил ему, говоря: замолчи и выйди из него.
25|Куль та хум тōргалтастэ ос сӯиӈ рōӈхыл тав кӣвреныл кон-минас.|Тогда дух нечистый, сотрясши его и вскричав громким голосом, вышел из него.
26|Мāхум осятахтыгласыт, халанылт китыглахтасыт:— Ты мāныр? Йильпи ханисьтан накэ тамле ё̄р та ōньси? Тав кулит кон-ня̄влуӈкве вēрми. Кулит Тавēн ōс хӯнтлэ̄гыт!|И все ужаснулись, так что друг друга спрашивали: что это? что это за новое учение, что Он и духам нечистым повелевает со властью, и они повинуются Ему?
27|Мосēртын Галилея мāт ōлнэ мирн Ӣсус вāӈкве та патвес.|И скоро разошлась о Нем молва по всей окрестности в Галилее.
28|Ӣсус синагоганыл кон-квāлме юи-пāлт Яков ос Иоан ханисьтахтын юртаге ёт Симон ос Андрей пāлт минасыт.|Выйдя вскоре из синагоги, пришли в дом Симона и Андрея, с Иаковом и Иоанном.
29|Симон ōныпе āгмыӈ ōлыс. Тав алпитэ исум ōлыс. Ты ōвылтыт мāхум Ӣсусын лāвсыт.|Теща же Симонова лежала в горячке; и тотчас говорят Ему о ней.
30|Тав та нэ̄ пāлт йис, нэ̄ кāтпалэ̄т пувыстэ ос нōх-лю̄люӈкве нё̄тыстэ. Āгмыӈ нэ̄ тāра-та пусмыс. Аквтаторыг нэ̄ тāнаныл тыттуӈкве-айтуӈкве патсанэ.|Подойдя, Он поднял ее, взяв ее за руку; и горячка тотчас оставила ее, и она стала служить им.
31|Э̄типалаг, хōтал ӯнтнэ юи-пāлт, Ӣсус палт āгмыӈ ос кулил вуим мāхум тотыглалвесыт.|При наступлении же вечера, когда заходило солнце, приносили к Нему всех больных и бесноватых.
32|Ӯс тāгыл мир та кол āви пōхан ёхтысыт.|И весь город собрался к дверям.
33|Тав сāв хōтпа сāвсыр āгманыл пусмалтасанэ ос сāв кулит коння̄влысанэ. Кулит вāсаныл Тав хотъют, таимāгыс Тав тāнаныл потыртаӈкве ат тартсанэ.|И Он исцелил многих, страдавших различными болезнями; изгнал многих бесов, и не позволял бесам говорить, что они знают, что Он Христос.
34|Сяр āлпыл Тав нōх-квāлыс. Тувыл миртāл мāн пōйксяӈкве минас.|А утром, встав весьма рано, вышел и удалился в пустынное место, и там молился.
35|Симонын ос мōт ханисьтахтын хумиянэ̄н Тав кинсуӈкве патвес.|Симон и бывшие с ним пошли за Ним
36|Юи-ōвылт Тав хōнтвес.— Мир пуссын Наӈын кинсыяныл! — тāн Ӣсус нупыл лāвсыт.|и, найдя Его, говорят Ему: все ищут Тебя.
37|Ӣсус тāнанылн лāвыс:— Ляпа пāвлытн ос ӯсытн минэ̄в. Тот Āнумн Тōрум Ёмас Ля̄ххал потыртаӈкве э̄ри, таимāгыс Ам ты мāн ёхтысум.|Он говорит им: пойдем в ближние селения и города, чтобы Мне и там проповедывать, ибо Я для того пришел.
38|Галилея мā янытыл Тав синагогатт Ёмас Ля̄ххал потырталыглас ос кулит кон-ня̄влыглāлыс.|И Он проповедывал в синагогах их по всей Галилее и изгонял бесов.
39|Аквматнакт Ӣсус палт проказал āгмыӈ хōтпа ёхтыс. Тав Ӣсус э̄лы-пāлн сāнспуӈкаге тармыл ӯнтыс ос Таве пойкуӈкве патыстэ:— Таӈхēгын-ке, Наӈ āнум пусмалтаӈкве вēр милын.|Приходит к Нему прокаженный и, умоляя Его и падая пред Ним на колени, говорит Ему: если хочешь, можешь меня очистить.
40|Тав Ӣсусн сāлиг ēмтыс. Ӣсус āгмыӈ хōтпа кāтэ̄тыл карссматас ос лāвыс:— Ам наӈын пусмалтаӈкве таӈхēгум. Пусмэн!|Иисус, умилосердившись над ним, простер руку, коснулся его и сказал ему: хочу, очистись.
41|Ты лāтӈыт юи-пāлт āгме та минас ос тав пусмыс.|После сего слова проказа тотчас сошла с него, и он стал чист.
42|Та хум нупыл Ӣсус кантыӈысь лāвыс:|И, посмотрев на него строго, тотчас отослал его
43|— Нэ̄мхотъютын ты ōвылтыт ул потыртэн. Минэн, пӯп-ōйкан сусылтахтэн. Моисей сāккон сирыл пусмумын мāгыс йир вāрен. Пуссын вос вāганыл, наӈ хумус пусмалтавēсын.|и сказал ему: смотри, никому ничего не говори, но пойди, покажись священнику и принеси за очищение твое, что повелел Моисей, во свидетельство им.
44|Та хум минас, пусмалтыматэ урыл мирн потыртаӈкве патыс. Таимāгыс Ӣсус ӯсн ёхтуӈкве ат вēрмыс, миртал мāт ōлыс. Тав палтэ мир сāвсырмāныл āкваг ёхталасыт.|А он, выйдя, начал провозглашать и рассказывать о происшедшем, так что [Иисус] не мог уже явно войти в город, но находился вне, в местах пустынных. И приходили к Нему отовсюду.
45|Матахмат хōтал хультум юи-пāлт Ӣсус Капернаум ӯсн ōс ёхтыс. Мир Тав юв-ёхтуме ōвылтыт хӯлсаныл.|Через [несколько] дней опять пришел Он в Капернаум; и слышно стало, что Он в доме.
46|Тасāвит мир та атхатас, āви пōхат лю̄льнэ мā ōс āтим ōлыс. Ӣсус Тōрум лāтыӈ потыртас.|Тотчас собрались многие, так что уже и у дверей не было места; и Он говорил им слово.
47|Тав палтэ нила хум ёхтысыт. Тāн параличыл āгмыӈ хōтпа тотсаныл.|И пришли к Нему с расслабленным, которого несли четверо;
48|Сака сāв мир ōлыс. Тāн Ӣсус ляпан йиӈкве ат вēрмысыт. Таимāгыс тāн кол ала хот-лōсытасаныл, āгмыӈ хум хуйнэ сованэ ёт нумыл ёл-тāртсаныл.|и, не имея возможности приблизиться к Нему за многолюдством, раскрыли [кровлю] дома, где Он находился, и, прокопав ее, спустили постель, на которой лежал расслабленный.
49|Ӣсус кāсаластэ: мāхум Тавēн агтэ̄гыт ос āгмыӈ хум нупыл лāвыс:— Пыгкве! Наӈ кареканын хот-ёрувлахтэ̄гыт.|Иисус, видя веру их, говорит расслабленному: чадо! прощаются тебе грехи твои.
50|Тот ань сāккон ханисьтан матахкем хум ӯнлысыт. Тāн нōмсахтасыт:|Тут сидели некоторые из книжников и помышляли в сердцах своих:
51|— Ӣсус ань Тōрум нупыл манрыг люкамтахты? Тōрум коны-пāл э̄лумхōлас кареке хотъютн хотёрувлаӈкве вēрмаве?|что Он так богохульствует? кто может прощать грехи, кроме одного Бога?
52|Ӣсус тāн номтаныл вāсанэ, тāнаныл китыгластэ: — Нāн манры̄г тох номсэгы̄н? |Иисус, тотчас узнав духом Своим, что они так помышляют в себе, сказал им: для чего так помышляете в сердцах ваших?
53|Мāныр кӯпнитнув? Āгмыӈ хōтпан лāвуӈкве: “Кареканын хот-ёрувлахтэ̄гыт” манос лāвуӈкве: “Нōх -лю̄лен, наӈки хуйнэ сованын вуēн ос ё̄мыгтэн?”|Что легче? сказать ли расслабленному: прощаются тебе грехи? или сказать: встань, возьми свою постель и ходи?
54|Нāн вос вāглын, Э̄лумхōлас Пы̄г мā тармыл карекыт хот-ёрувлан ё̄р ōньси. Тувыл Тав āгмыӈ хōтпа нупыл лāвыс:|Но чтобы вы знали, что Сын Человеческий имеет власть на земле прощать грехи, --говорит расслабленному:
55|— Нōх-лю̄лен, хуйнэ сованын вуēн ос юв-минэн.|тебе говорю: встань, возьми постель твою и иди в дом твой.
56|Э̄лумхōласыт кāсаласыт хумус āгмыӈ хум аквтаторыг нōх-лю̄лис, хуйнэ сованэ акван-атсанэ ос кон-квāлыс. Мир такем-та осятахтыглас ос Тōрум янытлым лāвыглāлыс:— Тамле нак мāн нэ̄мхуньт ат вāсинтасув.|Он тотчас встал и, взяв постель, вышел перед всеми, так что все изумлялись и прославляли Бога, говоря: никогда ничего такого мы не видали.
57|Ань Ӣсус ōс ся̄рысь вāтан минас. Тав мӯвлахитэ̄т сāв мир атхатасыт. Тав тāнаныл ханисьтасанэ.|И вышел [Иисус] опять к морю; и весь народ пошел к Нему, и Он учил их.
58|Ся̄рысь вāтат ё̄миматэ Тав Алфей-ōйка пыг Лēви касаластэ. Лēви пōт-олн атым ӯнлыс. Ӣсус тавēн лāвыс:— Ам ётум минымēн.Ань хум Тав ётэ та минмыгтас.|Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин, и говорит ему: следуй за Мною. И [он], встав, последовал за Ним.
59|Ӣсус ханисьтахтын хумиянэ ёт Лēви колт ӯсьлахтасыт. Тув ань пōт атнэ хумыт ос карекыӈ хōтпат ёхтысыт. Тав юи-пāлэ̄т āкваг сāв мāхум минасыт.|И когда Иисус возлежал в доме его, возлежали с Ним и ученики Его и многие мытари и грешники: ибо много их было, и они следовали за Ним.
60|Сāккон ханисьтан хумыт ос фарисейт Таве сāвсыр мир ёт тэ̄нэ̄тэ порат кāсаласаныл, ōс ханисьтахтын хумиянэ нупыл лāвыглāлсыт:— Тав пōт атнэ хумыт ос карекыӈ хōтпат ёт манрыг тэ̄г-айи?|Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?
61|Ӣсус ты лāтӈыт хӯнтамлас ос ювлэ-лāвыс: — Пус хōтпан лēккар хунь э̄ри. Āгмыӈ хōтпан лēккар э̄ри. Ам вēськат хōтпат ат вōвēгум. Ам карекыӈ хōтпат кареканыл хот-вуськасан мāгыс ёхтысум.|Услышав [сие], Иисус говорит им: не здоровые имеют нужду во враче, но больные; Я пришел призвать не праведников, но грешников к покаянию.
62|Иоан ханисьтахтын хумиянэ ос фарисейт поститахтасыт. Тāн Ӣсус палт ёхтысыт ос китыглахтасыт:— Иоан ос фарисейт ханисьтахтын хумияныл поститахтэ̄гыт. Наӈ ханисьтахтын хумиянын манрыг ат поститахтэ̄гыт?|Ученики Иоанновы и фарисейские постились. Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?
63|Ӣсус тāнанылн лāвыс:— Пури порат нэ̄ тотнэ хум юртанэ тэ̄нутныл ат воратэ̄гыт. Нэ̄ тотнэ хум ōлнэ̄тэ сыс, тāн касмустал ōлуӈкве ат вермэ̄гыт.|И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених? Доколе с ними жених, не могут поститься,
64|Хунь нэ̄ тотнэ хум хот-виве, тōнт юртанэ поститахтэ̄гыт.|но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни.
65|— Асыӈ пес маснутыт йильпи тōрыл нэ̄мхотъютын лап ат лолсалавет. Йильпи тōрыл лолсалым асыт усьпылнэ̄г янгыг пасапēгыт.|Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже.
66|Усь-āстум вина пēс сов хӯргын нэ̄мхотъютын ат сōсаве. Сōсавеке, ань та винан пēс хӯрыг пāлыг-маныгтаве. Винатэ кон-сōсхаты. Усь-āстум вина йильпи сов хӯргын сōсуӈкве э̄ри.|Никто не вливает вина молодого в мехи ветхие: иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут; но вино молодое надобно вливать в мехи новые.
67|Аквматнакт сабат-хōтал порат Ӣсус ня̄нь-пум янмалтан тэ̄пкан хосыт ё̄мантас. Тав ханисьтахтын хумиянэ колас-самыт маныгтаӈкве патсыт.|И случилось Ему в субботу проходить засеянными [полями], и ученики Его дорогою начали срывать колосья.
68|Тōнт фарисейт Ӣсус нупыл лāвсыт:— Сунсэ̄н, тāн тох манрыг вāрēгыт? Сабат-хōтал тох вāруӈкве ат рōви.|И фарисеи сказали Ему: смотри, что они делают в субботу, чего не должно [делать]?
69|Ӣсус тāнанылн лāвыс:— Нāн ман нэ̄мхуньт ат ловиньтāлсын: Давид-хōн мāныр вāрыс хунь тав мāхманэ тэ̄тал ōлсыт?|Он сказал им: неужели вы не читали никогда, что сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?
70|Авиафар яныг пӯпыг ōлум порат Давид-хōн Тōрум колн сялтыс ос Тōрумн ӯнттым ня̄нь тэ̄ӈкве ōвылтахтас. Та ня̄нил юрт мāхманэ ёт уртхатас. Ань пӯпыт коны-пāл ты ня̄нь нэ̄мхотъютын тэ̄ӈкве ат рōвыс!|как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?
71|Тувыл Ӣсус лэ̄выс:— Сабат-хōтал э̄лумхōлас мāгыс ōлы. Э̄лумхōлас сабат-хōтал мāгыс aт ōлы.|И сказал им: суббота для человека, а не человек для субботы;
72|Э̄лумхōлас Пы̄г ань сабат-хōтал кӯсяйиг ōс ōлы!|посему Сын Человеческий есть господин и субботы.
73|Ӣсус синагоган ōс та ёхтыс. Тот кāтэ тōслым хум ōлыс.|И пришел опять в синагогу; там был человек, имевший иссохшую руку.
74|Тав нупылэ фарисейт суссыт: сабат-хōталт Ӣсус āгмыӈ хум пусмалтаӈкве патытэ мāн āти. Тōнт тāн Таве лю̄камтаӈкве вēрмияныл.|И наблюдали за Ним, не исцелит ли его в субботу, чтобы обвинить Его.
75|Ань кāтэ тōслым хум нупыл Ӣсус лāвыс:— Нōх-лю̄лен, мāхумн сусылтахтэн.|Он же говорит человеку, имевшему иссохшую руку: стань на средину.
76|Тувыл Ӣсус тāнаныл китыгласанэ:— Сабат-хōтал ёмас вāрмаль манос лю̄ль вāрмаль вāруӈкве рōви? Ань э̄лумхōлас лылытэ нэ̄гылттаӈкве манос порслаӈкве э̄ри?|А им говорит: должно ли в субботу добро делать, или зло делать? душу спасти, или погубить? Но они молчали.
77|Ӣсус тāн нупыланыл кантыӈысь āӈкватāлыс. Тав кāстал патыс. Тāн такем-та лю̄ль сымпа мāхмыг та ōлнэ̄ныл. Ӣсус та э̄лумхōлас нупыл лāвыс:|И, воззрев на них с гневом, скорбя об ожесточении сердец их, говорит тому человеку: протяни руку твою. Он протянул, и стала рука его здорова, как другая.
78|Фарисейт кон-квāлсыт ос Ирод-хōн мāхум ёт потыртахтаӈкве патсыт: Ӣсус хумус алуӈкве вēрмияныл.|Фарисеи, выйдя, немедленно составили с иродианами совещание против Него, как бы погубить Его.
79|Ӣсус ханисьтахтын хумиянэ ёт ся̄рысь вāтан ё̄мантасыт. Тав юи-пāлэ̄т Галилея мāныл ос Юдея мāныл сака сāв мир минмыгтасыт.|Но Иисус с учениками Своими удалился к морю; и за Ним последовало множество народа из Галилеи, Иудеи,
80|Иерусалимныл, Идумеяныл, Иордан я̄ та-пāлныл, Тир ос Сидон ӯсыг мӯвлахи ōлнэ мир пуссын Тав палтэ йисыт. Тāн ань хӯлсаныл Ӣсус мāныр вāрыглāлыс.|Иерусалима, Идумеи и из-за Иордана. И [живущие] в окрестностях Тира и Сидона, услышав, что Он делал, шли к Нему в великом множестве.
81|Тав ханисьтахтын юртанэ̄н лāвыс: Тав мāгсылэ хāп вос сё̄питэ̄гыт. Сāв мир атхаты-ке, Таве ул вос  марылтаве.|И сказал ученикам Своим, чтобы готова была для Него лодка по причине многолюдства, дабы не теснили Его.
82|Тав сāв хōтпа пусмалтас, таимāгыс āгмыӈ мāхум пуссын Тав палтэ лайхатыгласыт Таве карссатаптуӈкве вос вēрминувыт.|Ибо многих Он исцелил, так что имевшие язвы бросались к Нему, чтобы коснуться Его.
83|Кулил вуим мāхум Таве кāсаламанылт Тав э̄лы-палэ̄нёл-вуськасахтасыт ос рōхсыт:— Наӈ Тōрум Пы̄г!|И духи нечистые, когда видели Его, падали пред Ним и кричали: Ты Сын Божий.
84|Ӣсус Тав ōвылтытэ потыртаӈкве тāнаныл ат тāртсанэ. Тāн ань вāсаныл, Тав хотъютыг ōлы.|Но Он строго запрещал им, чтобы не делали Его известным.
85|Ӣсус ханисьтахтын хумиянэ ёт ур алан нōххāхсыт.|Потом взошел на гору и позвал к Себе, кого Сам хотел; и пришли к Нему.
86|Тав ётэ ōлуӈкве Ӣсус тāнанылныл китхуйплув хум пēрияс. Тав тāнаныл Ёмас Ля̄ххал потыртаӈкве кēтсанэ.|И поставил [из них] двенадцать, чтобы с Ним были и чтобы посылать их на проповедь,
87|Тав тāнанылн āгмыӈ мāхум пусмалтан ос кулит кон-ня̄влын ё̄р мис.|и чтобы они имели власть исцелять от болезней и изгонять бесов;
88|Тав китхуйплув хōтпат пēрияс: Симон — Ӣсусын тав Пēтырыг намаявес, |[поставил] Симона, нарекши ему имя Петр,
89|Зеведей-ōйка пыгаге Иоан ос Яков — Ӣсусын сяхыл кургын пыгы̄г намаявесы̄г.|Иакова Зеведеева и Иоанна, брата Иакова, нарекши им имена Воанергес, то есть `сыны громовы',
90|Мōт хумиянэ намыл Андрей, Филипп, Варфоломей, Матфей, Фома, Алфей-ōйка пыге Яков, Фаддей, Симон Кананит|Андрея, Филиппа, Варфоломея, Матфея, Фому, Иакова Алфеева, Фаддея, Симона Кананита
91|ос Искариот ӯсныл ōлнэ Иуда. Иуда тувыл Ӣсус тыналытэ.|и Иуду Искариотского, который и предал Его.
92|Хунь Ӣсус юв-ёхтыс, тув ос сāв мир атхатас. Таимāгыс Тав ханисьтахтын юртанэ тэ̄ӈкве ат вēр-мысыт.|Приходят в дом; и опять сходится народ, так что им невозможно было и хлеба есть.
93|Ӣсус рӯтанэ та урыл хӯлманылт тāн Таве пōхан вōвнэ мāгыс ёхтысыт, лāвсыт:— Ӣсус пентым патыс.|И, услышав, ближние Его пошли взять Его, ибо говорили, что Он вышел из себя.
94|Иерусалим ӯсныл ёхтум сāккон тотнэ хумыт ōс лāвыглāлсыт:	 — Ӣсус кӣвырт веельзевул ōлы. Тав веелзевул ё̄рыл кулит кон-ня̄влыянэ.|А книжники, пришедшие из Иерусалима, говорили, что Он имеет [в] [Себе] веельзевула и что изгоняет бесов силою бесовского князя.
95|Тувыл Ӣсус тāнаныл ляпан вōвсанэ, ос ханисьтан потрыл потыртаӈкве патыс:— Сатана таквинāтэ кон-ня̄влуӈкве хумус вēрмитэ?|И, призвав их, говорил им притчами: как может сатана изгонять сатану?
96|Хōн-мā киттыг ке паты, тамле хōн-мā э̄лаль ӯнлын нотэ холы.|Если царство разделится само в себе, не может устоять царство то;
97|Ос хоты сēмьят ворасьлахтуӈкве-ке патэ̄гыт, тамле кол тāгыл лāкква-паты.|и если дом разделится сам в себе, не может устоять дом тот;
98|Ос сатана такви ётэ воритотуӈкве-ке паты, тōнт тав э̄лаль ōлуӈкве ат вēрми. Тав нотэ та холы.|и если сатана восстал на самого себя и разделился, не может устоять, но пришел конец его.
99|Алам, ё̄р кӯсяй ōсьнэ колныл пормас тӯлмантаӈкве нэ̄мхотъют ат вēрми. Тав кол кӯсяй ōвлэт ёл-нэ̄гсалытэ. Тōнт тӯп тав кол пормасанэ тӯлманты.|Никто, войдя в дом сильного, не может расхитить вещей его, если прежде не свяжет сильного, и тогда расхитит дом его.
100|Нāнан мāк лāвēгум: э̄лумхōласыт пуссын кареканыл ос Тōрум нупыл пуссын сāвсыр лю̄ль вāрмалит хот-ёрувлаӈкве вēрмавет.|Истинно говорю вам: будут прощены сынам человеческим все грехи и хуления, какими бы ни хулили;
101|Туп Ялпыӈ Лылы лю̄камтан хōтпа кареканэ Тōрумын нэ̄мхуньт ат ёрувлавэт. Та э̄лумхōлас кареканэ тавēн āкваг та хультэ̄гыт.|но кто будет хулить Духа Святаго, тому не будет прощения вовек, но подлежит он вечному осуждению.
102|Тāн тох та нōмсахтасыт: Ӣсус кулил вуим ōлы, таимāгыс Тав тох потыртас.|[Сие сказал Он], потому что говорили: в Нем нечистый дух.
103|Ӣсус ся̄нэ ос āпсиянэ ёхтысыт. Тāн лāвсыт:— Ӣсус тыг вōвелы̄н.|И пришли Матерь и братья Его и, стоя [вне] дома, послали к Нему звать Его.
104|Ӣсус мӯвлахи сāв мāхум ӯнлысыт ос Тавēн лāвсыт:	— Наӈ ся̄нын ос āпсияны̄н китыглавен.|Около Него сидел народ. И сказали Ему: вот, Матерь Твоя и братья Твои и сестры Твои, [вне] дома, спрашивают Тебя.
105|Ӣсус тāнанылн ювле-ля̄галас:— Ам ся̄нюм ос āпсиянум хотъютыт?|И отвечал им: кто матерь Моя и братья Мои?
106|Тав мӯвлахитэ ӯнлум мир нупыл āӈкваталыс ос лāвыс:— Ам ся̄нюм ос āпсиянум тит-ты-я!|И обозрев сидящих вокруг Себя, говорит: вот матерь Моя и братья Мои;
107|Тōрум лāвум сирыл ōлнэ хōтпат, тāн Ам āпсиянум, э̄сянум ос Ам ся̄нюм.|ибо кто будет исполнять волю Божию, тот Мне брат, и сестра, и матерь.
108|Ӣсус ся̄рысь вāтат мир ханисьтаӈкве ōс та патыс. Тав мӯвлахитэ̄т сака сāв мир атхатасыт, таимāгыс Тав хāпн тāлыс. Атхатам хōтпат нāлми вāтат лю̄ляхōлсыт.|И опять начал учить при море; и собралось к Нему множество народа, так что Он вошел в лодку и сидел на море, а весь народ был на земле, у моря.
109|Ōс сāв ханисьтан потыр тāнанылн потыртас:|И учил их притчами много, и в учении Своем говорил им:
110|— Хунтлэн, ань колас-сам ӯнттум хум тэ̄пканэ̄н колас-самыт пāхтуӈкве минас.|слушайте: вот, вышел сеятель сеять;
111|Матахкем самкве лё̄ӈх похан рагатасыт, та колас-самыт ӯйрисытын юв-тāяпавēсыт.|и, когда сеял, случилось, что иное упало при дороге, и налетели птицы и поклевали то.
112|Тōва колас-самыт āхвтасыӈ мāн рагатасыт. Тот ань мā вōвта ōлыс, таимāгыс тот колас-самыт молях яныгмасыт.|Иное упало на каменистое [место], где немного было земли, и скоро взошло, потому что земля была неглубока;
113|Тӯп ань хōтал рēгыл та ня̄ньпум тарсыт тув-тōссыт, тāраныл тӯпкамыт ōлсыт.|когда же взошло солнце, увяло и, как не имело корня, засохло.
114|Тōва колас-самыт пēлялахтын йӣв сяхыл халн рагатасыт ос тот яныгмасыт, тāн порс-пумын тармыл яныгмавēсыт. Та колас-самыт тэ̄нутыг ат яныгмасыт.|Иное упало в терние, и терние выросло, и заглушило [семя], и оно не дало плода.
