|target|source|comment
193|а̄мартаӈкве|зачерпнуть|
194|а̄мп|собака|
195|а̄мпкол|конура|собачья
196|а̄мппил|водяника|
197|а̄мппил|шикша|
198|а̄мпыӈ|собачий|
199|а̄мпыӈ сун|собачья упряжка|
200|ам||мест.
201|ам|я|
202|амки|я сам|
203|амна|головки обуви|
204|амсюӈкве|загадывать загадки|
205|амысь|загадка|
206|а̄нас|обоз|
207|а̄нах|олово|
208|а̄ны|чашка|
209|а̄ны|блюдо|
210|а̄ньт|рог|
211|а̄ньтыӈ|рогатый|
212|анеква|бабушка|по материнской линии
213|аниглахтуӈкве|целоваться|
214|аниглаӈкве|целовать|
215|ань|сейчас|
216|ань|теперь|
217|анькас|горох|
218|аньмунт|недавно|
219|аньмус|поныне|
220|аньмус|до настоящего времени|
221|аньсяр|клык|
222|аньты|только что|
223|аньтыгмус|доныне|
224|аньтыгмус|до сего времени|
225|аня|куча|
226|аня|толпа|
227|аня|стадо|
228|аня|стая|
229|аняктаӈкве|свалить в кучу|
230|аняктаӈкве|сгрудить|
231|анятаӈкве|собраться|
232|анятаӈкве|сгрудиться|
233|а̄па|люлька|
234|а̄па|колыбель|
235|а̄прыӈ|быстрый|
236|а̄прыӈ|ловкий|
237|а̄пси|брат|младший
238|а̄пыр|ловкость|
239|а̄пырлаӈкве|изловчиться|
240|апыг|внук|
241|апыг|внучка|
242|апыг|племянник|
243|апыг|племянница|
244|а̄рась|очаг|
245|а̄рнта|долг|
246|а̄рпи|рыболовный запор|
247|а̄рппал|запор у берега|
248|а̄рсын|аршин|
249|а̄рталахтуӈкве|пытаться|
250|а̄рталахтуӈкве|попытаться|
251|а̄рталахтын ва̄рмаль|попытка|
252|а̄рталаӈкве|измерить|
253|а̄рталаӈкве|проверить|
254|а̄ртмалаӈкве|удаваться|
255|а̄ртмалаӈкве|получаться|
256|а̄ртмил|удача|
257|а̄ртмилыӈ|удачный|
258|а̄ртмуӈкве|удаться|
259|а̄ртмуӈкве|получиться|
260|а̄ртмыгла̄луӈкве|получаться|
261|а̄ртмыгла̄луӈкве|удаваться|
262|арген||нареч.
263|арген|слишком|
264|арген|зря|
265|аргин|медь|
266|армалтаӈкве|отобрать|
267|арыг|лишний|
268|арыгкем|слишком|
269|арыгтаптуӈкве|отстранить|
270|арыгтаптуӈкве|исключить|
271|арыгтаптыгла̄луӈкве|отстранять|
272|арыгтаптыгла̄луӈкве|исключать|
273|арыгтаӈкве|остаться в излишке|
274|арыгтаӈкве|стать лишним|
275|а̄смас|полынья|
276|а̄сталтаӈкве|закончить|
277|а̄сталтаӈкве|приготовить|
278|а̄стапаӈкве|кончиться|
279|а̄стла̄лыглаӈкве|завершать|
280|а̄стла̄лыглаӈкве|заканчивать|
281|а̄стлахтуӈкве|готовиться|
282|а̄стлахтуӈкве|приготовиться|
283|а̄стлахтыгла̄луӈкве|приготовляться|
284|а̄ступта̄луӈкве|заканчивать|много раз
285|а̄ступтаӈкве|закончить|
286|а̄стуӈкве|кончить|
287|а̄стуӈкве|перестать|
288|а̄сь|отец|
289|а̄ся̄ги|старшая сестра мужа|
290|а̄ся̄ги|тётя|
291|ас|дыра|
292|ас|отверстие|
293|асёйка|дед|по материнской линии
294|асирма|холод|
295|асирма|мороз|
296|асирма|холодно|
297|асирман тыттуӈкве|обморозить|
298|асирман тыттыгла̄луӈкве|обмораживать|
299|асирмаӈ|холодный|
300|асирмаӈ|студёный|
301|астал||нареч.
302|астал|молча|
303|асталакве̄г|втихомолку|
304|асталнув|потише|
305|асыӈ|дырявый|
306|а̄твос|свинец|
309|а̄ти|нет|
310|а̄ти|не пойду|
311|а̄тим|нет|
312|а̄тим|отсутствует|
313|а̄тя|отец|
315|ат||част.
316|ат|не|
317|ат|ат минэ̄гум не пойду|
319|ат|пять|
321|ат|запах|
322|ат ва̄нэ|неизвестный|
323|ат та̄ратаӈкве|запретить|
324|ат таӈхим|неохотно|
325|ат то̄вылхатнэ|недостающий|
326|ат хо̄йхатнэ|негодный|
327|ат ёлымтан|непобедимый|
328|атая̄луӈкве|понюхать|
329|атаяӈкве|чуять|
330|атиӈк|иначе|
331|атпан|пятьдесят|
332|атса̄т|пятьсот|
333|атта̄л|невкусный|
334|атувъя̄луӈкве|понюхать|
335|атуӈкве|собрать|
336|атуӈкве|собирать|
337|атхатуӈкве|собраться|
338|атхатыгла̄луӈкве|собираться|
339|атхуйплов|пятнадцать|
340|атхунь|конечно|
341|атхунь|понятно|
342|атыл|сбор|
343|атыл|собирание|
344|атыньтахтуӈкве|нюхать|
345|атыньтахтуӈкве|обнюхиваться|
346|атыньтаӈкве|нюхать|
347|атыр|ясный|
348|атыр|ясное небо|
349|атырмаӈкве|проясниться|о небе
350|атырхари|голубой|
351|атырхари|синий|
352|атырхарпа|голубоватый|
353|атырхарпа|синеватый|
354|атыӈ|вкусный|
355|атыӈ|сладкий|
356|атыӈ|душистый|
357|атыӈ|ароматный|
358|атыӈ ня̄нь|пряник|
359|атыӈут|сладость|
360|а̄хвсалахтуӈкве|раздеться|
361|а̄хвсалаӈкве|раздевать|
362|а̄хвтас|камень|
363|а̄хвтас пӯт|котёл|
364|а̄хвтасыӈ|каменистый|
365|а̄хт|протока|
366|а̄хт а̄рпи|рыболовный запор|заграждение в протоке
367|аюӈкве|пить|
368|аялаӈкве|выпить|
369|ва̄г|мощь|
370|ва̄г|сила|
371|ва̄глап|лямка|
372|ва̄глап|ошейник|
373|ва̄глуӈкве|спуститься|
374|ва̄глуӈкве|сойти вниз|
375|ва̄глыгла̄луӈкве|спускаться|
376|ва̄глыгла̄луӈкве|сходить вниз|
377|ва̄гта̄л|слабый|
378|ва̄гта̄л|бессильный|
379|ва̄гта̄лпатантаӈкве|обессилевать|
380|ва̄гта̄лпатантаӈкве|ослабевать|
381|ва̄гталпа̄туӈкве|устать|
382|ва̄гталпа̄туӈкве|обессилеть|
383|ва̄гылттаӈкве|спустить|с горы
384|ва̄гылттаӈкве|небес|
385|ва̄гыӈ|мощный|
386|ва̄гыӈ|сильный|
387|ва̄й|кисы|меховая обувь
388|ва̄йпум|стелька|травяная
389|ва̄йхатнэ ва̄рмаль|знакомство|
390|ва̄йхатуӈкве|быть знакомыми|
391|ва̄лм|мозг|
392|ва̄льсям|стружка|
393|ва̄нсы|трава|молодая
394|ва̄нсы|мурава|
395|ва̄нсыӈ|травяной|
396|ва̄нтала̄лнэ хо̄тпа|кочевник|
397|ва̄нтала̄луӈкве|кочевать|долго
398|ва̄нтата̄луӈкве|водить за руку|длительно
399|ва̄нтлуптаӈкве|переселить|
400|ва̄нтлуптаӈкве|перегнать|скот
401|ва̄нтлуптаӈкве|оленей|
402|ва̄нтлуӈкве|кочевать|
403|ва̄нтлуӈкве|переехать|
404|ва̄нттуӈкве|вести|за руку
405|ва̄нттуӈкве|за узду|
406|ва̄нэ|знакомый|
407|ва̄нэ|известный|
408|ва̄пс|зять|
409|ва̄рантаӈкве|делать|медленно
410|ва̄рантаӈкве|не спеша|
411|ва̄рапахтуӈкве|превратиться|
412|ва̄рапаӈкве|сделать|быстро
413|ва̄рмалиӈ|деловой|
414|ва̄рмалиӈ|деловитый|
415|ва̄рмаль|дело|
416|ва̄рмыгтаӈкве|начать делать|
417|ва̄рнут|результат труда|
418|ва̄рсятаӈкве|шлёпнуться|
419|ва̄рсятаӈкве|хлопнуться|
420|ва̄ртул|приём|
421|ва̄ртул|способ|
422|ва̄руӈкве|делать|
423|ва̄руӈкве|строить|
424|ва̄руӈкве|создавать|
425|ва̄руӈкве|совершать|
426|ва̄рыгла̄луӈкве|делать|неоднократно
427|ва̄рыгла̄луӈкве|создавать|
428|ва̄рылтап|заказ|
429|ва̄рыхтаӈкве|каркать|
430|ва̄с|утка|
431|ва̄с пы̄грись|утёнок|
432|ва̄синтатта̄л|невиданный|
433|ва̄синтаӈкве|видеть|иногда
434|ва̄ситаӈкве|вываривать|
435|ва̄ситаӈкве|вытапливать жир|
436|ва̄т|тридцать|
437|ва̄та|берег|
438|ва̄та̄л|незнакомый|
439|ва̄та̄л-хасьта̄л|невзначай|
440|ва̄талахтуӈкве|свататься|
441|ва̄тахум|купец|
442|ва̄ти|короткий|
443|ва̄тима̄лыглаӈкве|приближаться|
444|ва̄тимаӈкве|приблизиться|
445|ва̄тимта̄лыглаӈкве|приближать|
446|ва̄тимтаӈкве|приблизить|
447|ва̄тихал|часто|
448|ва̄туӈкве|собирать|ягоды
449|ва̄туӈкве|есть|о медведе
450|ва̄тыгла̄луӈкве|собирать|ягоды
451|ва̄тыт|тридцатый|
452|ва̄ӈкариӈ|развилистый|
453|ва̄ӈкариӈ|кривой|
454|ва̄ӈкариӈ|косой|
455|ва̄ӈкве|знать|
456|ва̄ӈкве|видеть|
457|ва̄ӈклатаӈкве|споткнуться|
458|ва̄ӈклуӈкве|спотыкаться|
459|ва̄ӈкрип|багор|
460|ва̄ӈксуӈкве|ползать|
461|ва̄ӈксуӈкве|ползти|
462|ва̄ӈкуӈкве|ползти|
463|ва̄ӈкыртахтуӈкве|бодаться|
464|ва̄ӈкыртаӈкве|зацепить крючком|
465|ва̄ӈкыртаӈкве|багром|
466|ва̄ӈныӈ-консыӈ|плечистый|
467|ва̄ӈын|плечо|
468|ва̄ӈын лувнур|ключица|
469|ва̄ӈынлув|плечевая кость|
470|ва̄ӈынхум|помощник|
471|ве̄рита̄лыгла̄луӈкве|удерживаться|
472|ве̄ритатта̄л|невыносимый|
473|ве̄ритаӈкве|терпеть|
474|ве̄рмуӈкве|мочь|
475|ве̄рмхатуӈкве|справиться|с делами
476|ве̄рста|верста|
477|ве̄ртпи|терпение|
478|ве̄ртпиӈ|терпеливый|
479|ве̄стуӈкве|спасти|
480|ве̄стхатуӈкве|спастись|
481|ве̄ськат|честный|
482|ве̄ськат ва̄рмаль|правда|
483|ве̄ськат ва̄рмаль|справедливый|
484|ве̄ськат ва̄рмаль|правильный|
485|ве̄ськат ва̄рмаль|честный|
486|ве̄ськатлахтуӈкве|оправдываться|
487|ве̄ськатта̄л|неискренний|
488|ве̄ськаты̄г|честно|
489|ве̄ськаты̄г|искренне|
490|виӈкве|взять|
491|виӈкве|получить|
492|винтаӈ|винтовой|
493|висар|водоворот|
494|вит|вода|
495|витвит|ведро|берестяное
496|витво̄ӈха|прорубь|
497|витво̄ӈха|лужа|
498|виткась|водяной|дух
499|витн сялтуӈкве|утонуть|
500|витпум|водоросль|
501|витсам|капля|
502|витсов|водная поверхность|
503|витуй|бобёр|
504|витхарыӈ|сырой|
505|витхарыӈ|влажный|
506|витхӯрыг|волдырь|
507|витхӯрыг|огурец|
508|витыӈ|мокрый|
509|витыӈ|сырость|
510|вӣльт|лицо|
511|вӣльт cэ̄гнэ то̄р|полотенце|
512|вӣльт суснэ ке̄р|зеркало|
513|вӣльтъят|лоб|
514|во̄влаӈкве|окликнуть|
515|во̄вмыгтаӈкве|попросить|
516|во̄вмыгтаӈкве|потребовать|
517|во̄вта|тонкий|про лёд
518|во̄вта|ткань|
519|во̄вта̄л|непрошенный|
520|во̄втма|висок|
521|во̄вуӈкве|звать|
522|во̄вуӈкве|призвать|
523|во̄вхатуӈкве|проситься|
524|во̄выгла̄луӈкве|приглашать|
525|во̄итаӈкве|ожиреть|
526|во̄иӈ|жирный|
527|во̄й|жир|
528|во̄й|масло|
529|во̄й|сало|
530|во̄ль|плёс|
531|во̄нтыр|выдра|
532|во̄псатаӈкве|мелькнуть|
533|во̄р|лес|
534|во̄р кати|рысь|
535|во̄р салы|дикий олень|
536|во̄р сяхыл|роща|
537|во̄р ӯргалан хо̄тпа|лесник|
538|во̄раян ва̄рмаль|охота|на зверя
539|во̄раян хум|охотник|
540|во̄раяӈкве|охотиться|
541|во̄рмалта̄лыглаӈкве|воздвигать|
542|во̄рмалта̄лыглаӈкве|строить|здание
543|во̄рмалтаӈкве|воздвигнуть|
544|во̄рмалтаӈкве|построить|здание
545|во̄рто̄лно̄йка|медведь|
546|во̄рто̄лнут|медведь|
547|во̄ртпи|подпорка|
548|во̄ртуӈкве|подпереть|
549|во̄ртуӈкве|насторожить|слопец
550|во̄ртхатуӈкве|упереться|
551|во̄ртыпа̄л|левый|
552|во̄руй|дикий зверь|
553|во̄рупнэ|кедровка|птица
554|во̄рут|чудовище|
555|во̄рут|леший|
556|во̄сьлыл|горе|
557|во̄сэвхӯрыг|желудок|
558|во̄т|ветер|
559|во̄тас|метель|
560|во̄тас|пурга|
561|во̄тас|буран|
562|во̄тас|вьюга|
563|во̄тасаӈкве|дунуть|о ветре
564|во̄тла̄лыглаӈкве|проветривать|
565|во̄тлаӈкве|проветрить|
566|во̄тмыгтаӈкве|подуть|о ветре
567|во̄тпыг|вихрь|
568|во̄тумтаӈкве|начать дуть|о ветре
569|во̄туӈкве|дуть|о ветре
570|во̄тым|седой|
571|во̄тыӈ|ветреный|
572|во̄ӈха|берлога|
573|во̄ӈха|нора|
574|во̄ӈха|яма|
575|воӈнум|упругий|
576|воӈнум|тугой|
577|воӈнуӈкве|напружиться|
578|воӈнуӈкве|надуться|
579|воӈынлаӈкве|натянуть|
580|воӈынлаӈкве|растянуть|
581|войкан|белый|
582|войкан|светлый|
583|войкан витуп|беловодный|
584|войкан пуӈкуп|белокурый|
585|войкан ракт|известь|
586|войла̄луӈкве|брать|
587|войлыглаӈкве|брать|неоднократно
588|войхатуӈкве|браться|
589|войхатуӈкве|взяться|
590|войхатыглаӈкве|приниматься|
591|войхатыглаӈкве|браться|неоднократно
592|волтуӈкве|тесать|
593|волтуӈкве|строгать|
594|волтыгла̄луӈкве|тесать|
595|волтыгла̄луӈкве|строгать|неоднократно
596|вольгалтахтуӈкве|заблестеть|
597|вольгуӈкве|блестеть|
598|вольгыглаӈкве|блестеть|неоднократно
599|вольгын|блестящий|
600|вольк|скользкий|
601|волькатаӈкве|поскользнуться|
602|волькуӈкве|скользить|
603|волькыӈ|скользкий|
604|волятаӈкве|блеснуть|о воде
605|вониртахтуӈкве|прищуриться|
606|вониртахтыгла̄луӈкве|прищуриваться|
607|вониртаӈкве|щурить|
608|воньсял|пустынный|о земле
609|ворасьлап|спор|
610|ворасьлахтуӈкве|спорить|
611|ворасьлахтуӈкве|ссориться|
612|ворасьлаӈкве|спорить|
613|воратахтуӈкве|оспаривать|
614|воратаӈкве|стремиться|
615|воратаӈкве|порываться|
616|воргуӈкве|сверкать|
617|ворил|еле|
618|ворил|насилу|
619|ворилты|кое-как|
620|воримта̄лыглаӈкве|одолевать|
621|воримтаӈкве|одолеть|
622|воритотнэ ва̄рмаль|борьба|
623|воритотуӈкве|бороться|
624|вориӈ|упрямый|
625|вориӈ|настойчивый|
626|ворсик|трясогузка|
627|вортгалахтуӈкве|упрямиться|
628|вортыӈ|упрямый|о человеке
629|восвоснэ|камышовка|птица
630|восгасаӈкве|прошептать|
631|восгаяӈкве|шепнуть|
632|восгил|шёпот|
633|восгуӈкве|шептать|
634|восиртахтуӈкве|горчить|
635|восиртахтын|горький|на вкус
636|восы|копоть|
637|восытаӈкве|коптить|
638|воськаса̄лыглаӈкве|бросать|
639|воськаса̄лыглаӈкве|покидать|
640|воськасаӈкве|бросить|
641|воськасаӈкве|покинуть|
642|восьлах|слякоть|
643|восьлах|грязь|
644|восьлахыӈ|грязный|
645|восьрам|желчь|
646|восьрам|жёлтый|
647|восьрамхарпа|желтоватый|
648|восьрамыӈ|горький|
649|восяла̄луӈкве|кривляться|о человеке
650|вотгалаӈкве|гладить|
651|вотгалаӈкве|ласкать|
652|вотгыглаӈкве|гладить|
653|вотгыглаӈкве|ласкать|неоднократно
654|воянта̄лыглаӈкве|защищать|
655|воянтахтуӈкве|защищаться|
656|воянтаӈкве|защитить|
657|ӯвси|старшая сестра|
658|ӯвси|тётя|по отцовской линии
659|вуйхатаӈкве|браться|
660|вуйхатаӈкве|взяться|
661|вы̄гратаӈкве|краснеть|
662|вы̄гратаӈкве|покраснеть|
663|вы̄гыр|красный|
664|вы̄гыр|бордовый|
665|вы̄гыр па̄йтуп|румяный|
666|вы̄гырхарпа|коричневый|
667|вы̄гырхарпа|рыжий|
668|е̄ӈта|круглый|
669|е̄ӈта̄г|сделать круглым|
670|е̄ӈтала̄кв|окружность|
671|е̄ӈтапа̄л|полукруг|
672|е̄мт|случай|
673|е̄мтала̄луӈкве|случаться|
674|е̄мталаӈкве|случиться|
675|е̄мтан|сталь|
676|е̄мтантаӈкве|становиться|
677|е̄мтантаӈкве|делаться|постепенно
678|е̄мтапаӈкве|сделаться|моментально
679|е̄мтапаӈкве|оказаться|неожиданно
680|е̄мтуӈкве|стать|
681|е̄мтуӈкве|получиться|
682|е̄мтуӈкве|сбыться|
683|е̄мтыгла̄луӈкве|получаться|
684|е̄мтыгла̄луӈкве|сбываться|
685|е̄мтыгла̄луӈкве|совершаться|
686|е̄р|край|
687|е̄р|грань|
688|е̄р|рубеж|
689|е̄р|граница|
690|е̄ри|вбок|
691|е̄ри|боком|
692|е̄ри|кривой|
693|е̄ри-нёвумтаӈкве|пошатнуться|
694|е̄ри-патуӈкве|накрениться|
695|е̄ри-рагатаӈкве|упасть набок|в сторону
696|е̄ри-хӯтуӈкве|склониться|на бок
697|ертысьма|ненастье|
698|ертысьмаӈ|ненастный|
699|ё̄ӈхамлаптуӈкве|закружить|
700|ё̄ӈхамлаӈкве|закружиться|
701|ё̄ӈханта̄нтуӈкве|кружиться|
702|ё̄ӈхата̄луӈкве|вертеть|
703|ё̄ӈхатахтыглаӈкве|повертеться|
704|ё̄ӈхуп|луна|
705|ё̄ӈхуӈкве|вертеться|
706|ё̄ӈхуӈкве|вращаться|
707|ё̄ӈхуӈкве|кружиться|
708|ё̄ӈхыгпаптуӈкве|повернуть|
709|ёвт|лук|оружие
710|ёвт ква̄лыг|тетива|
711|ёвт я̄нтув|тетива|
712|ёвтлуӈкве|мерять луком|во время игры
713|ёвтуӈкве|купить|
714|ёл-ва̄глантаӈкве|спускаться|
715|ёл-ва̄глантаӈкве|слезать|
716|ёл-ва̄глуӈкве|спуститься|
717|ёл-ва̄глуӈкве|слезть|
718|ёл-ва̄глыгла̄луӈкве|слезать|
719|ёл-ва̄гылттаӈкве|спустить|вниз
720|ёл-ва̄нттуӈкве|свести|вниз
721|ёл-исуӈкве|приземлиться|о птице
722|ёл-исыл|посадка|
723|ёл-лаквуӈкве|сползти|
724|ёл-лаквыгла̄луӈкве|сползать|
725|ёл-лоньхатаӈкве|обвалиться|
726|ёл-лоньхатаӈкве|рухнуть|
727|ёл-лю̄лигла̄луӈкве|останавливаться|
728|ёл-лю̄люӈкве|остановиться|
729|ёл-нарумтаӈкве|столкнуть|вниз
730|ёл-нэ̄гуӈкве|привязать|
731|ёл-нэ̄гхатуӈкве|привязаться|
732|ёл-няртумтаӈкве|сдёрнуть|
733|ёл-няртумтаӈкве|сорвать|вниз
734|ёл-овантаӈкве|стекать|
735|ёл-овуӈкве|стечь|о воде
736|ёл-оилматуӈкве|заснуть|
737|ёл-оилматуӈкве|уснуть|
738|ёл-ойматуӈкве|сорваться|
739|ёл-оюӈкве|уснуть|
740|ёл-оянтаӈкве|засыпать|
741|ёл-па̄тыраӈкве|закатиться|
742|ёл-паргуӈкве|осыпаться|
743|ёл-паттуӈкве|уронить|
744|ёл-патуӈкве|упасть|
745|ёл-по̄илттаӈкве|остановить|
746|ёл-по̄илттаӈкве|успокоить|
747|ёл-по̄йтуӈкве|остановиться|
748|ёл-по̄йтуӈкве|перестать|
749|ёл-по̄люӈкве|примерзать|
750|ёл-повараӈкве|скатиться|
751|ёл-порыгмаӈкве|спрыгнуть|
752|ёл-порыгмаӈкве|соскочить|
753|ёл-пувуӈкве|удержать|
754|ёл-пувуӈкве|задержать|
755|ёл-ра̄гматаӈкве|провалиться|быстро
756|ёл-ра̄гпуӈкве|провалиться|
757|ёл-ра̄гпуӈкве|обрушиться|о постройке
758|ёл-ротмалтаӈкве|успокоить|
759|ёл-ротмуӈкве|успокоиться|
760|ёл-ротумтатта̄л|неугомонный|
761|ёл-са̄груӈкве|срубить|
762|ёл-сартуӈкве|спилить|
763|ёл-со̄суӈкве|вылить|
764|ёл-сялтуӈкве|увязнуть|
765|ёл-сё̄пита̄хтуӈкве|укладываться|спать
766|ёл-та̄ратахтуӈкве|спуститься|
767|ёл-та̄ратаӈкве|спустить|вниз
768|ёл-тагапаӈкве|застрять|
769|ёл-тахамтаӈкве|скатиться|с горы
770|ёл-торамлаӈкве|успокоиться|
771|ёл-торамтаӈкве|успокоить|
772|ёл-торылтаӈкве|уронить|
773|ёл-тосуӈкве|убыть|о воде
774|ёл-туясаӈкве|столкнуть|
775|ёл-тыламлаӈкве|спуститься|о птице
776|ёл-тӯйтуӈкве|спрятать|
777|ёл-тӯсьтуӈкве|воткнуть|
778|ёл-ха̄йтуӈкве|сбежать|вниз
779|ёл-хартуӈкве|стащить|
780|ёл-хартуӈкве|стянуть|вниз
781|ёл-хуюӈкве|лечь|
